Region,Commodity,2018 Average (Jan-Dec),2019 Average (Jan-Dec),2020 Average (Jan-Dec),2021 Average (Jan-Dec),2022 Average (Jan-Dec),2023 Average (Jan-Dec)
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),….Cereals,100,92.1,79.7,91.4,104,113
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),….Rootcrops,100,131,155.5,108.9,103.6,133.8
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),….Beans and Legumes,100,104.4,77.8,75.8,71.6,79
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),….Condiments,100,110.7,111.4,108.1,130,86.9
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),….Fruit Vegetables,100,101.8,71.4,64.1,72.5,81.5
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),….Leafy Vegetables,100,104.6,96.5,88.5,78.7,84
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),….Fruits,100,84.9,82.7,81,86,99.8
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),….Commercial Crops,100,94.7,93,78.9,90.6,80.2
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),..LIVESTOCK AND POULTRY,100,107.2,126.5,157.8,193.9,214.3
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),….Livestock,100,104,110.4,128.3,147.1,167
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),….Poultry,100,121.2,136,148.9,144.7,143.1
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),..FISHERY,100,100.9,100.6,101.9,110.8,106.4
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),….Aquaculture,100,104,114.1,118.3,141.8,131.6
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),….Commercial Fishery,100,92,84.5,78.5,75,97.1
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),….Inland Municipal Fishery,100,100.3,101.1,101.8,108.3,69.8
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),….Marine Municipal Fishery,100,102.5,101,96.5,99.1,136.4
