Geolocation,Commodity,Weights
....Aklan,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.01408301
....Aklan,01.1.6 - Fruits and nuts (ND),0.00869637
....Aklan,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.01739854
....Aklan,01.1.8.1 - Cane and beet sugar (ND),0.00357114
....Antique,01.1.1.12 - Rice,0.05395844
....Antique,01.1.1.16 - Corn,0.00033873
....Antique,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.01257602
....Antique,01.1.6 - Fruits and nuts (ND),0.00875014
....Antique,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.01671084
....Antique,01.1.8.1 - Cane and beet sugar (ND),0.00295023
....Capiz,01.1.1.12 - Rice,0.07563999
....Capiz,01.1.1.16 - Corn,0.00093692
....Capiz,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.01982528
....Capiz,01.1.6 - Fruits and nuts (ND),0.01380241
....Capiz,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.02293443
....Capiz,01.1.8.1 - Cane and beet sugar (ND),0.00390283
....Iloilo,01.1.1.12 - Rice,0.21352352
....Iloilo,01.1.1.16 - Corn,0.00214787
....Iloilo,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.04835883
....Iloilo,01.1.6 - Fruits and nuts (ND),0.02848454
....Iloilo,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.05403023
....Iloilo,01.1.8.1 - Cane and beet sugar (ND),0.01315806
....Negros Occidental,01.1.1.12 - Rice,0.24303762
....Negros Occidental,01.1.1.16 - Corn,0.01052529
....Negros Occidental,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.0547516
....Negros Occidental,01.1.6 - Fruits and nuts (ND),0.03247636
....Negros Occidental,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.06303291
....Negros Occidental,01.1.8.1 - Cane and beet sugar (ND),0.00999763
....Guimaras,01.1.1.12 - Rice,0.02106077
....Guimaras,01.1.1.16 - Corn,0.00013247
....Guimaras,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.00495956
....Guimaras,01.1.6 - Fruits and nuts (ND),0.00307487
....Guimaras,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.00491278
....Guimaras,01.1.8.1 - Cane and beet sugar (ND),0.00090926
....City of Iloilo (Capital),01.1.1.12 - Rice,0.04100916
....City of Iloilo (Capital),01.1.1.16 - Corn,0.00040549
....City of Iloilo (Capital),"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.0132222
....City of Iloilo (Capital),01.1.6 - Fruits and nuts (ND),0.00682608
....City of Iloilo (Capital),"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.01109278
....City of Iloilo (Capital),01.1.8.1 - Cane and beet sugar (ND),0.00137098
....City of Bacolod (Capital),01.1.1.12 - Rice,0.05564421
....City of Bacolod (Capital),01.1.1.16 - Corn,0.00070517
....City of Bacolod (Capital),"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.01728462
....City of Bacolod (Capital),01.1.6 - Fruits and nuts (ND),0.01030618
....City of Bacolod (Capital),"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.01586695
....City of Bacolod (Capital),01.1.8.1 - Cane and beet sugar (ND),0.00215176
..Region VII (Central Visayas),01.1.1.12 - Rice,0.58292944
..Region VII (Central Visayas),01.1.1.16 - Corn,0.12891392
..Region VII (Central Visayas),"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.17057138
..Region VII (Central Visayas),01.1.6 - Fruits and nuts (ND),0.09551214
..Region VII (Central Visayas),"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.15410128
..Region VII (Central Visayas),01.1.8.1 - Cane and beet sugar (ND),0.0270033
....Bohol,01.1.1.12 - Rice,0.13709519
....Bohol,01.1.1.16 - Corn,0.00258552
....Bohol,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.02226428
....Bohol,01.1.6 - Fruits and nuts (ND),0.01633904
....Bohol,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.0288602
....Bohol,01.1.8.1 - Cane and beet sugar (ND),0.00556698
....Cebu,01.1.1.12 - Rice,0.19537015
....Cebu,01.1.1.16 - Corn,0.07886189
....Cebu,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.071741
....Cebu,01.1.6 - Fruits and nuts (ND),0.03549925
....Cebu,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.05909725
....Cebu,01.1.8.1 - Cane and beet sugar (ND),0.00948365
....Negros Oriental,01.1.1.12 - Rice,0.07538897
....Negros Oriental,01.1.1.16 - Corn,0.03298418
....Negros Oriental,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.02763262
....Negros Oriental,01.1.6 - Fruits and nuts (ND),0.01288546
....Negros Oriental,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.02748695
....Negros Oriental,01.1.8.1 - Cane and beet sugar (ND),0.00652548
....Siquijor,01.1.1.12 - Rice,0.00644221
....Siquijor,01.1.1.16 - Corn,0.00248858
....Siquijor,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.00219553
....Siquijor,01.1.6 - Fruits and nuts (ND),0.00163563
....Siquijor,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.00274721
....Siquijor,01.1.8.1 - Cane and beet sugar (ND),0.00036858
....City of Cebu (Capital),01.1.1.12 - Rice,0.0846167
....City of Cebu (Capital),01.1.1.16 - Corn,0.00601255
....City of Cebu (Capital),"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.0282408
....City of Cebu (Capital),01.1.6 - Fruits and nuts (ND),0.01533616
....City of Cebu (Capital),"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.01771222
....City of Cebu (Capital),01.1.8.1 - Cane and beet sugar (ND),0.00256555
....City of Lapu-Lapu,01.1.1.12 - Rice,0.0397467
....City of Lapu-Lapu,01.1.1.16 - Corn,0.00295903
....City of Lapu-Lapu,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.01397373
....City of Lapu-Lapu,01.1.6 - Fruits and nuts (ND),0.00781739
....City of Lapu-Lapu,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.01019315
....City of Lapu-Lapu,01.1.8.1 - Cane and beet sugar (ND),0.00137351
....City of Mandaue,01.1.1.12 - Rice,0.04426952
....City of Mandaue,01.1.1.16 - Corn,0.00302217
....City of Mandaue,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.00452342
....City of Mandaue,01.1.6 - Fruits and nuts (ND),0.00599921
....City of Mandaue,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.0080043
....City of Mandaue,01.1.8.1 - Cane and beet sugar (ND),0.00111955
..Region VIII (Eastern Visayas),01.1.1.12 - Rice,0.47251084
..Region VIII (Eastern Visayas),01.1.1.16 - Corn,0.01207924
..Region VIII (Eastern Visayas),"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.11872685
..Region VIII (Eastern Visayas),01.1.6 - Fruits and nuts (ND),0.05539696
..Region VIII (Eastern Visayas),"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.10259219
..Region VIII (Eastern Visayas),01.1.8.1 - Cane and beet sugar (ND),0.01582021
....Eastern Samar,01.1.1.12 - Rice,0.05176415
....Eastern Samar,01.1.1.16 - Corn,
....Eastern Samar,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.01328492
....Eastern Samar,01.1.6 - Fruits and nuts (ND),0.00573935
....Eastern Samar,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.0117908
....Eastern Samar,01.1.8.1 - Cane and beet sugar (ND),0.00183124
....Leyte,01.1.1.12 - Rice,0.1795639
....Leyte,01.1.1.16 - Corn,0.0113281
....Leyte,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.04058979
....Leyte,01.1.6 - Fruits and nuts (ND),0.02098969
....Leyte,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.03950586
....Leyte,01.1.8.1 - Cane and beet sugar (ND),0.00552933
....Northern Samar,01.1.1.12 - Rice,0.06517435
....Northern Samar,01.1.1.16 - Corn,8.337e-05
....Northern Samar,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.01603015
....Northern Samar,01.1.6 - Fruits and nuts (ND),0.00723477
....Northern Samar,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.01358895
....Northern Samar,01.1.8.1 - Cane and beet sugar (ND),0.00254634
....Samar,01.1.1.12 - Rice,0.08712768
....Samar,01.1.1.16 - Corn,0.00022421
....Samar,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.02346973
....Samar,01.1.6 - Fruits and nuts (ND),0.00995115
....Samar,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.01950188
....Samar,01.1.8.1 - Cane and beet sugar (ND),0.00302133
....Southern Leyte,01.1.1.12 - Rice,0.04370976
....Southern Leyte,01.1.1.16 - Corn,0.00016111
....Southern Leyte,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.01145097
....Southern Leyte,01.1.6 - Fruits and nuts (ND),0.00506778
....Southern Leyte,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.00804109
....Southern Leyte,01.1.8.1 - Cane and beet sugar (ND),0.0014853
....Biliran,01.1.1.12 - Rice,0.02186714
....Biliran,01.1.1.16 - Corn,0.00014976
....Biliran,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.00560603
....Biliran,01.1.6 - Fruits and nuts (ND),0.00262125
....Biliran,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.00429986
....Biliran,01.1.8.1 - Cane and beet sugar (ND),0.00077929
....City of Tacloban (Capital),01.1.1.12 - Rice,0.02330386
....City of Tacloban (Capital),01.1.1.16 - Corn,0.00013269
....City of Tacloban (Capital),"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.00829526
....City of Tacloban (Capital),01.1.6 - Fruits and nuts (ND),0.00379297
....City of Tacloban (Capital),"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.00586375
....City of Tacloban (Capital),01.1.8.1 - Cane and beet sugar (ND),0.00062738
..Region IX (Zamboanga Peninsula),01.1.1.12 - Rice,0.30384431
..Region IX (Zamboanga Peninsula),01.1.1.16 - Corn,0.06793409
..Region IX (Zamboanga Peninsula),"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.08202927
..Region IX (Zamboanga Peninsula),01.1.6 - Fruits and nuts (ND),0.0392164
..Region IX (Zamboanga Peninsula),"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.08436753
..Region IX (Zamboanga Peninsula),01.1.8.1 - Cane and beet sugar (ND),0.01606158
....Zamboanga del Norte,01.1.1.12 - Rice,0.07280034
....Zamboanga del Norte,01.1.1.16 - Corn,0.02624136
....Zamboanga del Norte,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.01799091
....Zamboanga del Norte,01.1.6 - Fruits and nuts (ND),0.01125415
....Zamboanga del Norte,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.02155799
....Zamboanga del Norte,01.1.8.1 - Cane and beet sugar (ND),0.00383838
....Zamboanga del Sur,01.1.1.12 - Rice,0.07212651
....Zamboanga del Sur,01.1.1.16 - Corn,0.03162693
....Zamboanga del Sur,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.0185025
....Zamboanga del Sur,01.1.6 - Fruits and nuts (ND),0.00931259
....Zamboanga del Sur,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.02101458
....Zamboanga del Sur,01.1.8.1 - Cane and beet sugar (ND),0.00375824
....Zamboanga Sibugay,01.1.1.12 - Rice,0.05938791
....Zamboanga Sibugay,01.1.1.16 - Corn,0.00881326
....Zamboanga Sibugay,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.01187472
....Zamboanga Sibugay,01.1.6 - Fruits and nuts (ND),0.00678161
....Zamboanga Sibugay,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.01271018
....Zamboanga Sibugay,01.1.8.1 - Cane and beet sugar (ND),0.00312838
....City of Zamboanga,01.1.1.12 - Rice,0.09074647
....City of Zamboanga,01.1.1.16 - Corn,0.00110927
....City of Zamboanga,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.03019924
....City of Zamboanga,01.1.6 - Fruits and nuts (ND),0.01060251
....City of Zamboanga,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.02661237
....City of Zamboanga,01.1.8.1 - Cane and beet sugar (ND),0.00450237
....City of Isabela,01.1.1.12 - Rice,0.00878308
....City of Isabela,01.1.1.16 - Corn,0.00014327
....City of Isabela,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.0034619
....City of Isabela,01.1.6 - Fruits and nuts (ND),0.00126554
....City of Isabela,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.00247241
....City of Isabela,01.1.8.1 - Cane and beet sugar (ND),0.00083421
..Region X (Northern Mindanao),01.1.1.12 - Rice,0.39695224
..Region X (Northern Mindanao),01.1.1.16 - Corn,0.07677021
..Region X (Northern Mindanao),"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.09306663
..Region X (Northern Mindanao),01.1.6 - Fruits and nuts (ND),0.04815677
..Region X (Northern Mindanao),"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.09634579
..Region X (Northern Mindanao),01.1.8.1 - Cane and beet sugar (ND),0.01731706
....Bukidnon,01.1.1.12 - Rice,0.09988116
....Bukidnon,01.1.1.16 - Corn,0.03641429
....Bukidnon,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.02395754
....Bukidnon,01.1.6 - Fruits and nuts (ND),0.01374251
....Bukidnon,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.02466817
....Bukidnon,01.1.8.1 - Cane and beet sugar (ND),0.00510855
....Camiguin,01.1.1.12 - Rice,0.01012763
....Camiguin,01.1.1.16 - Corn,
....Camiguin,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.00192911
....Camiguin,01.1.6 - Fruits and nuts (ND),0.00100739
....Camiguin,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.0021106
....Camiguin,01.1.8.1 - Cane and beet sugar (ND),0.00032404
....Lanao del Norte,01.1.1.12 - Rice,0.05884579
....Lanao del Norte,01.1.1.16 - Corn,0.00923217
....Lanao del Norte,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.0132254
....Lanao del Norte,01.1.6 - Fruits and nuts (ND),0.00588207
....Lanao del Norte,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.0123835
....Lanao del Norte,01.1.8.1 - Cane and beet sugar (ND),0.00279361
....Misamis Occidental,01.1.1.12 - Rice,0.04551628
....Misamis Occidental,01.1.1.16 - Corn,0.01411745
....Misamis Occidental,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.01271973
....Misamis Occidental,01.1.6 - Fruits and nuts (ND),0.00618759
....Misamis Occidental,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.01378522
....Misamis Occidental,01.1.8.1 - Cane and beet sugar (ND),0.00243231
....Misamis Oriental,01.1.1.12 - Rice,0.07351115
....Misamis Oriental,01.1.1.16 - Corn,0.01196107
....Misamis Oriental,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.01506351
....Misamis Oriental,01.1.6 - Fruits and nuts (ND),0.00815048
....Misamis Oriental,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.01765037
....Misamis Oriental,01.1.8.1 - Cane and beet sugar (ND),0.00302234
....City of Iligan,01.1.1.12 - Rice,0.03437208
....City of Iligan,01.1.1.16 - Corn,0.00257051
....City of Iligan,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.00885241
....City of Iligan,01.1.6 - Fruits and nuts (ND),0.00414526
....City of Iligan,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.00747807
....City of Iligan,01.1.8.1 - Cane and beet sugar (ND),0.00114847
....City of Cagayan de Oro (Capital),01.1.1.12 - Rice,0.07469815
....City of Cagayan de Oro (Capital),01.1.1.16 - Corn,0.00247472
....City of Cagayan de Oro (Capital),"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.01731893
....City of Cagayan de Oro (Capital),01.1.6 - Fruits and nuts (ND),0.00904147
....City of Cagayan de Oro (Capital),"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.01826986
....City of Cagayan de Oro (Capital),01.1.8.1 - Cane and beet sugar (ND),0.00248774
..Region XI (Davao Region),01.1.1.12 - Rice,0.45682276
..Region XI (Davao Region),01.1.1.16 - Corn,0.06795533
..Region XI (Davao Region),"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.12049577
..Region XI (Davao Region),01.1.6 - Fruits and nuts (ND),0.05964284
..Region XI (Davao Region),"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.12063472
..Region XI (Davao Region),01.1.8.1 - Cane and beet sugar (ND),0.02383634
....Davao del Norte,01.1.1.12 - Rice,0.10594488
....Davao del Norte,01.1.1.16 - Corn,0.00912364
....Davao del Norte,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.02245349
....Davao del Norte,01.1.6 - Fruits and nuts (ND),0.01160262
....Davao del Norte,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.0233408
....Davao del Norte,01.1.8.1 - Cane and beet sugar (ND),0.00418682
....Davao del Sur,01.1.1.12 - Rice,0.04985951
....Davao del Sur,01.1.1.16 - Corn,0.01366899
....Davao del Sur,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.01283609
....Davao del Sur,01.1.6 - Fruits and nuts (ND),0.0063218
....Davao del Sur,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.0152908
....Davao del Sur,01.1.8.1 - Cane and beet sugar (ND),0.00350655
....Davao Oriental,01.1.1.12 - Rice,0.02909609
....Davao Oriental,01.1.1.16 - Corn,0.00766315
....Davao Oriental,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.00742781
....Davao Oriental,01.1.6 - Fruits and nuts (ND),0.00299346
....Davao Oriental,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.00665214
....Davao Oriental,01.1.8.1 - Cane and beet sugar (ND),0.00134249
....Davao de Oro,01.1.1.12 - Rice,0.05791806
....Davao de Oro,01.1.1.16 - Corn,0.01629123
....Davao de Oro,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.01291503
....Davao de Oro,01.1.6 - Fruits and nuts (ND),0.00643641
....Davao de Oro,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.01731721
....Davao de Oro,01.1.8.1 - Cane and beet sugar (ND),0.00336168
....Davao Occidental,01.1.1.12 - Rice,0.04917684
....Davao Occidental,01.1.1.16 - Corn,0.01298709
....Davao Occidental,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.00872158
....Davao Occidental,01.1.6 - Fruits and nuts (ND),0.00608155
....Davao Occidental,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.01444618
....Davao Occidental,01.1.8.1 - Cane and beet sugar (ND),0.00435334
....City of Davao,01.1.1.12 - Rice,0.16482738
....City of Davao,01.1.1.16 - Corn,0.00822123
....City of Davao,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.05614177
....City of Davao,01.1.6 - Fruits and nuts (ND),0.026207
....City of Davao,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.04358759
....City of Davao,01.1.8.1 - Cane and beet sugar (ND),0.00708546
..Region XII (SOCCSKSARGEN),01.1.1.12 - Rice,0.46985388
..Region XII (SOCCSKSARGEN),01.1.1.16 - Corn,0.03150683
..Region XII (SOCCSKSARGEN),"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.11322581
..Region XII (SOCCSKSARGEN),01.1.6 - Fruits and nuts (ND),0.06276426
..Region XII (SOCCSKSARGEN),"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.12568152
..Region XII (SOCCSKSARGEN),01.1.8.1 - Cane and beet sugar (ND),0.0218441
....Cotabato,01.1.1.12 - Rice,0.14324671
....Cotabato,01.1.1.16 - Corn,0.01068044
....Cotabato,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.03532745
....Cotabato,01.1.6 - Fruits and nuts (ND),0.02371577
....Cotabato,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.045891
....Cotabato,01.1.8.1 - Cane and beet sugar (ND),0.00780911
....South Cotabato,01.1.1.12 - Rice,0.10595387
....South Cotabato,01.1.1.16 - Corn,0.00263282
....South Cotabato,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.02430667
....South Cotabato,01.1.6 - Fruits and nuts (ND),0.01295241
....South Cotabato,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.02493256
....South Cotabato,01.1.8.1 - Cane and beet sugar (ND),0.00406086
....Sultan Kudarat,01.1.1.12 - Rice,0.0830916
....Sultan Kudarat,01.1.1.16 - Corn,0.00442881
....Sultan Kudarat,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.01471771
....Sultan Kudarat,01.1.6 - Fruits and nuts (ND),0.00919769
....Sultan Kudarat,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.0201549
....Sultan Kudarat,01.1.8.1 - Cane and beet sugar (ND),0.00326684
....Sarangani,01.1.1.12 - Rice,0.03921352
....Sarangani,01.1.1.16 - Corn,0.01123205
....Sarangani,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.01241364
....Sarangani,01.1.6 - Fruits and nuts (ND),0.0051729
....Sarangani,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.01314073
....Sarangani,01.1.8.1 - Cane and beet sugar (ND),0.00270681
....City of General Santos,01.1.1.12 - Rice,0.06594913
....City of General Santos,01.1.1.16 - Corn,0.00230028
....City of General Santos,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.01900828
....City of General Santos,01.1.6 - Fruits and nuts (ND),0.00847945
....City of General Santos,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.01584663
....City of General Santos,01.1.8.1 - Cane and beet sugar (ND),0.00269536
....City of Cotabato,01.1.1.12 - Rice,0.03239905
....City of Cotabato,01.1.1.16 - Corn,0.00023243
....City of Cotabato,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.00745206
....City of Cotabato,01.1.6 - Fruits and nuts (ND),0.00324604
....City of Cotabato,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.0057157
....City of Cotabato,01.1.8.1 - Cane and beet sugar (ND),0.00130512
..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),01.1.1.12 - Rice,0.24881393
..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),01.1.1.16 - Corn,0.00355718
..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.11415728
..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),01.1.6 - Fruits and nuts (ND),0.03844002
..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.07798917
..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),01.1.8.1 - Cane and beet sugar (ND),0.0207056
....Basilan,01.1.1.12 - Rice,0.02444674
