Region,Commodity,2019 Average (Jan-Dec),2020 Average (Jan-Dec),2021 Average (Jan-Dec),2022 Average (Jan-Dec),2023 Average (Jan-Dec)
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),….Cereals,-7.9,-13.5,14.7,13.8,8.7
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),….Rootcrops,31,18.7,-30,-4.9,29.2
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),….Beans and Legumes,4.4,-25.5,-2.6,-5.5,10.3
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),….Condiments,10.7,0.6,-3,20.3,-33.2
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),….Fruit Vegetables,1.8,-29.9,-10.2,13.1,12.4
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),….Leafy Vegetables,4.6,-7.7,-8.3,-11.1,6.7
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),….Fruits,-15.1,-2.6,-2.1,6.2,16
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),….Commercial Crops,-5.3,-1.8,-15.2,14.8,-11.5
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),..LIVESTOCK AND POULTRY,7.2,18,24.7,22.9,10.5
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),….Livestock,4,6.2,16.2,14.7,13.5
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),….Poultry,21.2,12.2,9.5,-2.8,-1.1
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),..FISHERY,0.9,-0.3,1.3,8.7,-4
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),….Aquaculture,4,9.7,3.7,19.9,-7.2
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),….Commercial Fishery,-8,-8.2,-7.1,-4.5,29.5
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),….Inland Municipal Fishery,0.3,0.8,0.7,6.4,-35.5
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),….Marine Municipal Fishery,2.5,-1.5,-4.5,2.7,37.6
