"Vegetables: Supply Utilization Accounts"

"Commodity","Year","SU Production","SU Imports","SU Gross Supply","UT Exports","UT Seeds","UT Feeds and Waste","UT Processing","UT Total Net Food Disposable","UT Per Capita kg/yr","UT Per Capita gm/day"
"Cauliflower","2014",11739.00,14.00,11753.00,0.00,4.00,940.00,0.00,10809.00,0.11,0.30
"Cauliflower","2015",11865.00,1.00,11866.00,0.00,4.00,949.00,0.00,10913.00,0.11,0.30
"Cauliflower","2016",11641.00,3.30,11644.79,b/,3.96,931.58,0.00,10709.25,0.10,0.28
"Cauliflower","2017",12060.97,33.54,12094.51,0.00,4.06,967.56,0.00,11122.88,0.11,0.29
"Cauliflower","2018",11328.32,63.51,11391.84,0.00,3.86,911.35,0.00,10476.63,0.10,0.27
"Cauliflower","2019",11552.88,56.65,11609.54,0.00,3.91,928.76,0.00,10676.86,0.10,0.27
"Cauliflower","2020",11983.20,8.93,11992.13,b/,4.03,959.37,0.00,11028.70,0.10,0.28
"Cauliflower","2021",11444.91,16.33,11461.24,0.00,3.83,916.90,0.00,10540.51,0.10,0.26
"Cauliflower","2022",10142.47,12.05,10154.52,0.00,3.61,812.36,0.00,9338.55,0.08,0.23
"Celery","1990",3849.00,0.00,3849.00,0.00,0.00,307.92,0.00,3541.08,0.06,0.16
"Celery","1991",5846.00,0.00,5846.00,0.00,0.00,467.68,0.00,5378.32,0.09,0.23
"Celery","1992",8994.00,7.00,9001.00,0.00,0.00,720.08,0.00,8280.92,0.13,0.35
"Celery","1993",6885.00,19.00,6904.00,0.00,0.00,552.32,0.00,6351.68,0.10,0.27
"Celery","1994",6242.00,18.00,6260.00,0.00,0.00,500.80,0.00,5759.20,0.08,0.23
"Celery","1995",3859.00,24.00,3883.00,0.00,0.00,310.64,0.00,3572.36,0.05,0.14
"Celery","1996",3642.00,21.00,3663.00,0.00,0.00,293.04,0.00,3369.96,0.05,0.13
"Celery","1997",3675.00,33.00,3708.00,0.00,0.00,296.64,0.00,3411.36,0.05,0.13
"Celery","1998",3400.00,22.00,3422.00,0.00,0.00,273.76,0.00,3148.24,0.04,0.12
"Celery","1999",3541.00,8.00,3549.00,0.00,0.00,283.92,0.00,3265.08,0.04,0.12
"Celery","2000",3494.00,17.00,3511.00,0.00,0.00,280.88,0.00,3230.12,0.04,0.12
"Celery","2001",3530.00,24.00,3554.00,0.00,0.00,284.32,0.00,3269.68,0.04,0.11
"Celery","2002",3549.00,6.00,3555.00,0.00,0.00,284.40,0.00,3270.60,0.04,0.11
"Celery","2003",3641.00,2.00,3643.00,0.00,0.00,291.44,0.00,3351.56,0.04,0.11
"Celery","2004",3703.00,12.00,3715.00,0.00,0.00,297.00,0.00,3418.00,0.04,0.11
"Celery","2005",3666.00,26.00,3692.00,0.00,0.00,295.00,0.00,3397.00,0.04,0.11
"Celery","2006",3775.00,4.00,3779.00,0.00,0.00,302.00,0.00,3477.00,0.04,0.11
"Celery","2007",3864.00,1.00,3865.00,0.00,0.00,309.00,0.00,3556.00,0.04,0.11
"Celery","2008",4075.00,5.00,4080.00,0.00,0.00,326.00,0.00,3754.00,0.04,0.11
"Celery","2009",4105.00,16.00,4121.00,b/,0.00,330.00,0.00,3791.00,0.04,0.11
"Celery","2010",3959.00,31.00,3990.00,0.00,0.00,319.00,0.00,3671.00,0.04,0.11
"Celery","2011",3566.00,15.00,3581.00,0.00,0.00,286.00,0.00,3295.00,0.03,0.08
"Celery","2012",3425.00,7.00,3432.00,0.00,0.00,275.00,0.00,3157.00,0.03,0.08
"Celery","2013",3463.00,3.00,3466.00,0.00,0.00,277.00,0.00,3189.00,0.03,0.08
"Celery","2014",3400.00,0.00,3400.00,0.00,0.00,272.00,0.00,3128.00,0.03,0.08
"Celery","2015",3317.00,b/,3317.00,0.00,0.00,265.00,0.00,3052.00,0.03,0.08
"Celery","2016",3290.00,4.55,3294.10,0.00,0.00,263.53,0.00,3030.57,0.03,0.08
"Celery","2017",3437.11,b/,3437.74,0.00,0.00,275.02,0.00,3162.72,0.03,0.08
"Celery","2018",3417.73,35.57,3453.30,0.00,0.00,276.26,0.00,3177.04,0.03,0.08
"Celery","2019",3490.91,74.72,3565.63,0.00,0.00,285.25,0.00,3280.38,0.03,0.08
"Celery","2020",3629.21,55.61,3684.82,0.00,0.00,294.79,0.00,3390.03,0.03,0.09
"Celery","2021",3869.22,23.66,3892.88,0.00,0.00,311.43,0.00,3581.45,0.03,0.09
"Celery","2022",3875.94,b/,3876.15,0.00,0.00,310.09,0.00,3566.06,0.03,0.09
"Chayote","1990",28470.00,0.00,28470.00,0.00,6.58,2277.60,0.00,26185.82,0.43,1.17
"Chayote","1991",31219.00,0.00,31219.00,0.00,6.95,2497.52,0.00,28714.53,0.46,1.25
"Chayote","1992",31222.00,0.00,31222.00,0.00,7.06,2497.76,0.00,28717.18,0.45,1.22
"Chayote","1993",33071.00,0.00,33071.00,0.00,6.99,2645.68,0.00,30418.33,0.46,1.27
"Chayote","1994",40874.00,0.00,40874.00,0.00,7.51,3269.92,0.00,37596.57,0.55,1.50
"Chayote","1995",39260.00,0.00,39260.00,0.00,8.50,3140.80,0.00,36110.70,0.53,1.45
"Chayote","1996",42886.00,0.00,42886.00,0.00,8.97,3430.88,0.00,39446.15,0.56,1.54
"Chayote","1997",44090.00,0.00,44090.00,0.00,9.33,3527.20,0.00,40553.47,0.57,1.55
"Chayote","1998",38523.00,0.00,38523.00,0.00,8.61,3081.84,0.00,35432.55,0.48,1.33
"Chayote","1999",38876.00,0.00,38876.00,0.00,9.42,3110.08,0.00,35756.50,0.48,1.31
"Chayote","2000",38027.00,0.00,38027.00,0.00,9.64,3042.16,0.00,34975.20,0.46,1.25
"Chayote","2001",39264.00,0.00,39264.00,0.00,9.83,3141.12,0.00,36113.05,0.46,1.27
"Chayote","2002",74164.00,0.00,74164.00,0.00,19.73,5933.12,0.00,68211.15,0.86,2.35
"Chayote","2003",73910.00,0.00,73910.00,0.00,19.66,5912.80,0.00,67977.54,0.84,2.30
"Chayote","2004",75560.00,0.00,75560.00,0.00,23.00,6045.00,0.00,69492.00,0.84,2.30
"Chayote","2005",75700.00,0.00,75700.00,0.00,22.00,6056.00,0.00,69622.00,0.82,2.25
"Chayote","2006",78102.00,0.00,78102.00,0.00,21.00,6248.00,0.00,71833.00,0.83,2.27
"Chayote","2007",79407.00,0.00,79407.00,0.00,24.00,6353.00,0.00,73030.00,0.82,2.25
"Chayote","2008",83739.00,0.00,83739.00,0.00,24.00,6699.00,0.00,77016.00,0.85,2.33
"Chayote","2009",82675.00,0.00,82675.00,0.00,24.00,6614.00,0.00,76037.00,0.84,2.30
"Chayote","2010",89736.00,0.00,89736.00,0.00,23.00,7179.00,0.00,82534.00,0.89,2.44
"Chayote","2011",85396.00,0.00,85396.00,0.00,24.00,6832.00,0.00,78540.00,0.83,2.27
"Chayote","2012",83727.00,0.00,83727.00,0.00,23.00,6698.00,0.00,77006.00,0.80,2.19
"Chayote","2013",83097.00,0.00,83097.00,0.00,23.00,6648.00,0.00,76426.00,0.78,2.14
"Chayote","2014",81576.00,0.00,81576.00,0.00,23.00,6526.00,0.00,75027.00,0.75,2.05
"Chayote","2015",80851.00,0.00,80851.00,0.00,23.00,6468.00,0.00,74360.00,0.73,2.00
"Chayote","2016",74566.00,0.00,74565.80,0.00,22.10,5965.26,0.00,68578.44,0.66,1.82
"Chayote","2017",73067.69,0.00,73067.69,0.00,21.89,5845.42,0.00,67200.38,0.65,1.77
"Chayote","2018",71600.79,0.00,71600.79,0.00,21.65,5728.06,0.00,65851.07,0.62,1.71
"Chayote","2019",76924.29,0.00,76924.29,0.00,22.61,6153.94,0.00,70747.74,0.66,1.81
"Chayote","2020",87157.75,0.00,87157.75,0.00,24.59,6972.62,0.00,80160.54,0.74,2.02
"Chayote","2021",94190.26,0.00,94190.26,b/,25.21,7535.21,0.00,86629.73,0.79,2.15
"Chayote","2022",98304.68,0.00,98304.68,b/,25.85,7864.35,0.00,90414.16,0.81,2.22
"Cucumber","1990",5472.00,0.00,5472.00,0.00,3.82,437.76,0.00,5030.43,0.08,0.22
"Cucumber","1991",6108.00,0.00,6108.00,0.00,3.93,488.64,0.00,5615.43,0.09,0.24
"Cucumber","1992",6767.00,0.00,6767.00,0.00,4.08,541.36,0.00,6221.56,0.10,0.27
"Cucumber","1993",6249.00,0.00,6249.00,0.00,3.83,499.92,0.00,5745.25,0.09,0.24
"Cucumber","1994",6941.00,0.00,6941.00,0.00,4.00,555.28,0.00,6381.72,0.09,0.25
"Cucumber","1995",6806.00,20.00,6826.00,0.00,4.15,546.08,0.00,6275.77,0.09,0.25
"Cucumber","1996",8764.00,0.00,8764.00,0.00,5.06,701.12,0.00,8057.82,0.12,0.32
"Cucumber","1997",8488.00,0.00,8488.00,0.00,4.91,679.04,0.00,7804.05,0.11,0.30
"Cucumber","1998",9125.00,0.00,9125.00,0.00,5.03,730.00,0.00,8389.97,0.11,0.31
"Cucumber","1999",9292.00,0.00,9292.00,0.00,5.44,743.36,0.00,8543.20,0.11,0.31
"Cucumber","2000",8845.00,0.00,8845.00,0.00,5.17,707.60,0.00,8132.23,0.11,0.29
"Cucumber","2001",8618.00,0.60,8618.60,0.00,5.20,689.49,0.00,7923.91,0.10,0.28
"Cucumber","2002",8995.00,0.00,8995.00,0.00,5.39,719.60,0.00,8270.01,0.10,0.28
"Cucumber","2003",9128.00,4.00,9132.00,0.00,5.48,730.56,0.00,8395.96,0.10,0.28
"Cucumber","2004",9540.00,0.00,9540.00,0.00,6.00,763.00,0.00,8771.00,0.11,0.30
"Cucumber","2005",9226.00,b/,9226.00,0.00,6.00,738.00,0.00,8482.00,0.10,0.27
"Cucumber","2006",9719.00,0.00,9719.00,0.00,6.00,778.00,0.00,8935.00,0.10,0.27
"Cucumber","2007",10873.00,104.00,10977.00,0.00,6.00,878.00,0.00,10093.00,0.11,0.30
"Cucumber","2008",11432.00,b/,11432.00,2.00,6.00,914.00,0.00,10510.00,0.12,0.33
"Cucumber","2009",11845.00,0.00,11845.00,b/,6.00,948.00,0.00,10891.00,0.12,0.33
"Cucumber","2010",11766.00,0.00,11766.00,0.00,6.00,941.00,0.00,10819.00,0.12,0.33
"Cucumber","2011",11640.00,0.00,11640.00,b/,6.00,931.00,0.00,10703.00,0.11,0.30
"Cucumber","2012",11792.00,0.00,11792.00,b/,6.00,943.00,0.00,10843.00,0.11,0.30
"Cucumber","2013",12540.00,0.00,12540.00,0.00,7.00,1003.00,0.00,11530.00,0.12,0.33
"Cucumber","2014",12802.00,0.00,12802.00,0.00,7.00,1024.00,0.00,11771.00,0.12,0.33
"Cucumber","2015",12905.00,0.00,12905.00,b/,7.00,1032.00,0.00,11866.00,0.12,0.33
"Cucumber","2016",13146.00,0.00,13146.32,380.40,6.62,1021.27,0.00,11738.03,0.11,0.31
"Cucumber","2017",13290.35,1.56,13291.91,b/,6.75,1063.00,0.00,12222.16,0.12,0.32
"Cucumber","2018",13444.48,2.54,13447.02,b/,6.84,1075.75,0.00,12364.24,0.12,0.32
"Cucumber","2019",13628.40,b/,13628.57,b/,6.86,1090.28,0.00,12531.41,0.12,0.32
"Cucumber","2020",13538.35,0.00,13538.35,0.00,6.86,1083.07,0.00,12448.42,0.11,0.31
"Cucumber","2021",14023.14,0.00,14023.14,0.00,6.97,1121.85,0.00,12894.32,0.12,0.32
"Cucumber","2022",14069.72,0.00,14069.72,0.00,7.03,1125.58,0.00,12937.11,0.12,0.32
"Eggplant","1990",112704.00,0.00,112704.00,0.00,34.49,9016.32,0.00,103653.19,1.69,4.62
"Eggplant","1991",104040.00,0.00,104040.00,0.00,30.38,8323.20,0.00,95686.42,1.52,4.17
"Eggplant","1992",110451.00,0.00,110451.00,0.00,32.62,8836.08,0.00,101582.30,1.58,4.33
"Eggplant","1993",111672.00,0.00,111672.00,0.00,36.57,8933.76,0.00,102701.67,1.57,4.30
"Eggplant","1994",123471.00,0.00,123471.00,0.00,37.30,9877.68,0.00,113556.02,1.65,4.53
"Eggplant","1995",130702.00,0.00,130702.00,0.00,37.05,10456.16,0.00,120208.79,1.76,4.82
"Eggplant","1996",157603.00,0.00,157603.00,0.00,37.96,12608.24,0.00,144956.80,2.07,5.68
"Eggplant","1997",195032.00,0.00,195032.00,0.00,39.80,15602.56,0.00,179389.64,2.51,6.87
"Eggplant","1998",163833.00,0.00,163833.00,0.00,33.79,13106.64,0.00,150692.57,2.06,5.64
"Eggplant","1999",159744.00,0.00,159744.00,0.00,40.69,12779.52,0.00,146923.79,1.97,5.39
"Eggplant","2000",166146.00,0.00,166146.00,0.00,41.89,13291.68,0.00,152812.43,2.00,5.47
"Eggplant","2001",169819.00,0.00,169819.00,0.00,42.89,13585.52,0.00,156190.59,2.00,5.49
"Eggplant","2002",179659.00,0.00,179659.00,0.00,43.71,14372.72,0.00,165242.57,2.08,5.69
"Eggplant","2003",176991.00,0.00,176991.00,0.00,44.00,14159.00,0.00,162788.00,2.01,5.51
"Eggplant","2004",182753.00,0.00,182753.00,0.00,44.00,14620.00,0.00,168089.00,2.03,5.56
"Eggplant","2005",187793.00,0.00,187793.00,0.00,45.00,15023.00,0.00,172725.00,2.03,5.56
"Eggplant","2006",191911.00,0.00,191911.00,0.00,44.00,15353.00,0.00,176514.00,2.03,5.56
"Eggplant","2007",210156.00,0.00,210156.00,1.00,45.00,16812.00,0.00,193298.00,2.18,5.97
"Eggplant","2008",199579.00,0.00,199579.00,1.00,45.00,15966.00,0.00,183567.00,2.03,5.56
"Eggplant","2009",200942.00,0.00,200942.00,b/,44.00,16075.00,0.00,184823.00,2.03,5.56
"Eggplant","2010",208242.00,0.00,208242.00,b/,45.00,16659.00,0.00,191538.00,2.06,5.64
"Eggplant","2011",207994.00,0.00,207994.00,b/,45.00,16640.00,0.00,191309.00,2.02,5.53
"Eggplant","2012",211885.00,0.00,211885.00,1.00,45.00,16951.00,0.00,194888.00,2.02,5.53
"Eggplant","2013",219911.00,0.00,219911.00,1.00,45.00,17593.00,0.00,202272.00,2.06,5.64
"Eggplant","2014",225579.00,0.00,225579.00,b/,44.00,18046.00,0.00,207489.00,2.08,5.70
"Eggplant","2015",232864.00,0.00,232864.00,b/,44.00,18629.00,0.00,214191.00,2.11,5.78
"Eggplant","2016",235626.00,0.00,235626.24,0.00,44.18,18850.10,0.00,216731.96,2.10,5.75
"Eggplant","2017",241900.94,0.00,241900.94,0.00,45.04,19352.08,0.00,222503.83,2.14,5.85
"Eggplant","2018",244838.34,0.00,244838.34,0.00,45.47,19587.07,0.00,225205.80,2.13,5.83
"Eggplant","2019",249890.48,0.00,249890.48,0.29,45.82,19991.24,0.00,229853.13,2.14,5.87
"Eggplant","2020",242730.40,0.00,242730.40,b/,45.74,19418.43,0.00,223266.22,2.05,5.62
"Eggplant","2021",244034.56,0.00,244034.56,1.57,45.84,19522.76,0.00,224464.39,2.04,5.58
"Eggplant","2022",248151.43,0.00,248151.43,3.57,46.12,19852.11,0.00,228249.62,2.05,5.60
"Garlic","1990",17849.00,198.04,18047.04,0.00,2141.88,1443.76,0.00,14461.40,0.24,0.64
"Garlic","1991",12425.00,290.00,12715.00,0.00,1491.00,1017.20,0.00,10206.80,0.16,0.44
"Garlic","1992",11766.00,271.00,12037.00,0.00,1411.92,962.96,0.00,9662.12,0.15,0.41
"Garlic","1993",12310.00,471.00,12781.00,0.00,1477.20,1022.48,0.00,10281.32,0.16,0.43
"Garlic","1994",15728.00,0.00,15728.00,0.50,1887.36,1258.20,0.00,12581.94,0.18,0.50
"Garlic","1995",17227.00,0.00,17227.00,2.40,2067.24,1377.97,0.00,13779.39,0.20,0.55
"Garlic","1996",18591.00,1651.00,20242.00,253.44,2230.92,1599.08,0.00,16158.56,0.23,0.63
"Garlic","1997",20180.00,5422.71,25602.71,0.00,2421.60,2048.22,0.00,21132.89,0.30,0.81
"Garlic","1998",17757.00,13854.96,31611.96,34.57,2130.84,2526.19,0.00,26920.36,0.37,1.01
"Garlic","1999",9335.00,19371.40,28706.40,0.00,1120.20,2296.51,0.00,25289.69,0.34,0.93
"Garlic","2000",13688.00,5113.23,18801.23,0.00,1642.56,1504.10,0.00,15654.57,0.20,0.56
"Garlic","2001",15364.00,7599.00,22963.00,1.00,1843.68,1836.96,0.00,19281.36,0.25,0.68
"Garlic","2002",16257.00,16814.00,33071.00,4047.00,1950.84,2321.92,0.00,24751.24,0.31,0.85
"Garlic","2003",15529.00,18973.00,34502.00,4594.00,1863.48,2392.64,0.00,25651.88,0.32,0.87
"Garlic","2004",14999.00,21222.00,36221.00,4648.00,1800.00,2526.00,0.00,27247.00,0.33,0.90
"Garlic","2005",13234.00,26165.00,39399.00,5937.00,1588.00,2677.00,0.00,29197.00,0.34,0.93
"Garlic","2006",12581.00,40493.00,53074.00,3851.00,1510.00,3938.00,0.00,43775.00,0.50,1.37
"Garlic","2007",11285.00,50622.00,61907.00,10.00,1354.00,4952.00,0.00,55591.00,0.63,1.73
"Garlic","2008",11348.00,54992.00,66340.00,26.00,1362.00,5305.00,0.00,59647.00,0.66,1.81
"Garlic","2009",10451.00,36839.00,47290.00,1.00,1254.00,3783.00,0.00,42252.00,0.46,1.26
"Garlic","2010",9563.00,24296.00,33859.00,20.00,1148.00,2707.00,0.00,29984.00,0.32,0.88
"Garlic","2011",9057.00,22463.00,31520.00,6.00,1087.00,2521.00,0.00,27906.00,0.29,0.79
"Garlic","2012",8808.00,9482.00,18290.00,3.00,1057.00,1463.00,0.00,15767.00,0.16,0.44
"Garlic","2013",8986.00,3515.00,12501.00,6.00,1078.00,1000.00,0.00,10417.00,0.11,0.30
"Garlic","2014",8993.00,29696.00,38689.00,89.00,1079.00,3088.00,0.00,34433.00,0.34,0.93
"Garlic","2015",10420.00,70038.00,80458.00,80.00,1250.00,6430.00,0.00,72698.00,0.72,1.97
"Garlic","2016",7469.00,60308.12,67777.08,78.80,896.28,5415.86,0.00,61386.14,0.59,1.63
"Garlic","2017",7751.05,68802.06,76553.11,106.71,930.13,6115.71,0.00,69400.57,0.67,1.83
"Garlic","2018",7559.12,79406.74,86965.86,101.62,907.09,6949.14,0.00,79008.01,0.75,2.05
"Garlic","2019",7256.32,85115.72,92372.05,104.07,870.76,7381.44,0.00,84015.78,0.78,2.15
"Garlic","2020",6766.62,88509.83,95276.45,6.00,811.99,7621.64,0.00,86836.82,0.80,2.19
"Garlic","2021",5890.14,93389.02,99279.16,29.04,706.82,7940.01,0.00,90603.29,0.82,2.25
"Garlic","2022",5884.93,102060.40,107945.33,b/,706.19,8635.62,0.00,98603.49,0.88,2.42
"Ginger","1990",21811.00,0.00,21811.00,0.00,109.06,1744.88,0.00,19957.06,0.32,0.89
"Ginger","1991",21346.00,0.00,21346.00,0.00,106.73,1707.68,0.00,19531.59,0.31,0.85
"Ginger","1992",21025.00,0.00,21025.00,0.00,105.13,1682.00,0.00,19237.88,0.30,0.82
"Ginger","1993",20424.00,0.00,20424.00,0.00,102.12,1633.92,0.00,18687.96,0.29,0.78
"Ginger","1994",21358.00,0.00,21358.00,0.00,106.79,1708.64,0.00,19542.57,0.28,0.78
"Ginger","1995",22704.00,0.00,22704.00,0.00,113.52,1816.32,0.00,20774.16,0.30,0.83
"Ginger","1996",24011.00,0.00,24011.00,0.00,120.06,1920.88,0.00,21970.07,0.31,0.86
"Ginger","1997",21715.00,0.00,21715.00,0.00,108.58,1737.20,0.00,19869.22,0.28,0.76
"Ginger","1998",17973.00,0.00,17973.00,0.00,89.87,1437.84,0.00,16445.29,0.22,0.62
"Ginger","1999",20793.00,0.00,20793.00,0.00,103.97,1663.44,0.00,19025.60,0.25,0.70
"Ginger","2000",22679.00,0.00,22679.00,0.00,113.40,1814.32,0.00,20751.29,0.27,0.74
"Ginger","2001",23424.00,0.00,23424.00,0.00,117.12,1873.92,0.00,21432.96,0.28,0.75
"Ginger","2002",23022.00,0.00,23022.00,0.00,115.11,1841.76,0.00,21065.13,0.26,0.73
"Ginger","2003",22616.00,0.00,22616.00,0.00,113.08,1809.28,0.00,20693.64,0.26,0.70
"Ginger","2004",24063.00,0.00,24063.00,0.00,120.00,1925.00,0.00,22018.00,0.27,0.74
"Ginger","2005",24700.00,0.00,24700.00,0.00,124.00,1976.00,0.00,22600.00,0.27,0.74
"Ginger","2006",27261.00,0.00,27261.00,0.00,136.00,2181.00,0.00,24944.00,0.29,0.79
"Ginger","2007",27946.00,0.00,27946.00,0.00,140.00,2236.00,0.00,25570.00,0.29,0.79
"Ginger","2008",27538.00,57.00,27595.00,3.00,138.00,2207.00,0.00,25247.00,0.28,0.77
"Ginger","2009",27415.00,94.00,27509.00,4.00,137.00,2200.00,0.00,25168.00,0.28,0.77
"Ginger","2010",27097.00,90.00,27187.00,4.00,135.00,2175.00,0.00,24873.00,0.27,0.74
"Ginger","2011",27755.00,80.00,27835.00,45.00,139.00,2223.00,0.00,25428.00,0.27,0.74
"Ginger","2012",27677.00,58.00,27735.00,4.00,138.00,2218.00,0.00,25375.00,0.26,0.71
"Ginger","2013",28216.00,108.00,28324.00,15.00,141.00,2265.00,0.00,25903.00,0.26,0.71
"Ginger","2014",27197.00,40.00,27237.00,1.00,136.00,2179.00,0.00,24921.00,0.25,0.68
"Ginger","2015",26623.00,1495.00,28118.00,b/,133.00,2249.00,0.00,25736.00,0.25,0.68
"Ginger","2016",26787.00,8960.72,35747.93,9.84,133.94,2859.05,0.00,32745.11,0.32,0.87
"Ginger","2017",27482.02,2729.61,30211.64,1.90,137.41,2416.78,0.00,27655.55,0.27,0.73
"Ginger","2018",27926.27,293.93,28220.20,1.52,139.63,2257.49,0.00,25821.55,0.24,0.67
"Ginger","2019",26929.10,8944.91,35874.01,1.23,134.65,2869.82,0.00,32868.32,0.31,0.84
"Ginger","2020",27126.48,12239.40,39365.88,0.00,135.63,3149.27,0.00,36080.98,0.33,0.91
"Ginger","2021",28144.50,10389.67,38534.17,b/,140.72,3082.73,0.00,35310.69,0.32,0.88
"Ginger","2022",28766.07,5669.59,34435.66,1.46,143.83,2754.74,0.00,31535.64,0.28,0.77
"Gourd","1990",40085.00,0.00,40085.00,0.00,10.79,3206.80,0.00,36867.41,0.60,1.64
"Gourd","1991",37426.00,0.00,37426.00,0.00,9.98,2994.08,0.00,34421.94,0.55,1.50
"Gourd","1992",36018.00,0.00,36018.00,0.00,9.92,2881.44,0.00,33126.64,0.52,1.41
"Gourd","1993",34429.00,0.00,34429.00,0.00,9.40,2754.32,0.00,31665.28,0.48,1.33
"Gourd","1994",32352.00,0.00,32352.00,0.00,9.21,2588.16,0.00,29754.63,0.43,1.19
"Gourd","1995",30304.00,0.00,30304.00,0.00,8.87,2424.32,0.00,27870.81,0.41,1.12
"Gourd","1996",36952.00,0.00,36952.00,0.00,9.53,2956.16,0.00,33986.31,0.49,1.33
"Gourd","1997",40634.00,0.00,40634.00,0.00,9.92,3250.72,0.00,37373.36,0.52,1.43
"Gourd","1998",36953.00,0.00,36953.00,0.00,9.91,2956.24,0.00,33986.85,0.46,1.27
"Gourd","1999",38107.00,0.00,38107.00,0.00,10.49,3048.56,0.00,35047.95,0.47,1.28
"Gourd","2000",37113.00,0.00,37113.00,0.00,10.20,2969.04,0.00,34133.76,0.45,1.22
"Gourd","2001",34980.00,0.00,34980.00,0.00,9.75,2798.40,0.00,32171.85,0.41,1.13
"Gourd","2002",128829.00,0.00,128829.00,0.00,34.00,10306.32,0.00,118488.68,1.49,4.08
"Gourd","2003",128387.00,0.00,128387.00,0.00,33.89,10270.96,0.00,118082.15,1.46,3.99
"Gourd","2004",124251.00,0.00,124251.00,0.00,31.93,9940.08,0.00,114278.99,1.38,3.79
"Gourd","2005",120423.00,0.00,120423.00,0.00,31.70,9633.84,0.00,110757.46,1.30,3.56
"Gourd","2006",113421.00,0.00,113421.00,0.00,29.99,9073.68,0.00,104317.33,1.20,3.29
"Gourd","2007",106291.00,0.00,106291.00,0.00,27.66,8503.28,0.00,97760.06,1.10,3.02
"Gourd","2008",104029.00,0.00,104029.00,0.00,27.41,8322.32,0.00,95679.27,1.06,2.90
"Gourd","2009",102787.00,0.00,102787.00,0.00,26.90,8222.96,0.00,94537.14,1.04,2.85
"Gourd","2010",97586.00,0.00,97586.00,0.00,25.90,7806.88,0.00,89753.22,0.96,2.64
"Gourd","2011",93780.00,0.00,93780.00,0.00,25.65,7502.40,0.00,86251.95,0.91,2.49
"Gourd","2012",92588.00,0.00,92588.00,0.00,25.62,7407.04,0.00,85155.34,0.88,2.42
"Gourd","2013",88464.00,0.00,88464.00,0.00,23.96,7077.12,0.00,81362.92,0.83,2.27
"Gourd","2014",83218.00,0.00,83218.00,0.00,24.09,6657.44,0.00,76536.47,0.77,2.10
"Gourd","2015",82737.00,0.00,82737.00,0.00,24.51,6618.96,0.00,76093.53,0.75,2.05
"Gourd","2016",79978.00,0.00,79978.39,0.00,24.10,6398.27,0.00,73556.02,0.71,1.95
"Gourd","2017",81401.52,0.00,81401.52,0.00,23.70,6512.12,0.00,74865.70,0.72,1.97
"Gourd","2018",79231.06,0.00,79231.06,0.00,23.74,6338.48,0.00,72868.83,0.69,1.89
"Gourd","2019",76644.67,0.00,76644.67,0.00,22.72,6131.57,0.00,70490.37,0.66,1.80
"Gourd","2020",73074.53,0.00,73074.53,0.00,22.64,5845.96,0.00,67205.92,0.62,1.69
"Gourd","2021",72859.03,0.00,72859.03,0.00,22.65,5828.72,0.00,67007.66,0.61,1.67
"Gourd","2022",74813.89,0.00,74813.89,0.00,22.78,5985.11,0.00,68806.00,0.62,1.69
"Habitchuelas","1990",9490.00,0.00,9490.00,0.00,13.55,759.20,0.00,8717.25,0.14,0.38
"Habitchuelas","1991",9878.00,0.00,9878.00,0.00,13.82,790.24,0.00,9073.94,0.14,0.38
"Habitchuelas","1992",10551.00,0.00,10551.00,0.00,14.46,844.08,0.00,9692.46,0.15,0.41
"Habitchuelas","1993",11003.00,0.00,11003.00,0.00,14.85,880.24,0.00,10107.91,0.15,0.41
"Habitchuelas","1994",11309.00,0.00,11309.00,0.00,17.21,904.72,0.00,10387.07,0.15,0.41
"Habitchuelas","1995",11289.00,0.00,11289.00,0.00,18.19,903.12,0.00,10367.69,0.15,0.41
"Habitchuelas","1996",12361.00,0.00,12361.00,0.00,19.95,988.88,0.00,11352.17,0.16,0.44
"Habitchuelas","1997",12440.00,0.00,12440.00,0.00,21.46,995.20,0.00,11423.34,0.16,0.44
"Habitchuelas","1998",11900.00,0.00,11900.00,0.00,18.88,952.00,0.00,10929.12,0.15,0.41
"Habitchuelas","1999",12138.00,0.00,12138.00,0.00,18.68,971.04,0.00,11148.28,0.15,0.41
"Habitchuelas","2000",11757.00,0.00,11757.00,0.00,18.36,940.56,0.00,10798.08,0.14,0.38
"Habitchuelas","2001",11603.00,0.00,11603.00,0.00,18.05,928.24,0.00,10656.71,0.14,0.38
"Habitchuelas","2002",11847.00,0.00,11847.00,0.00,18.46,947.76,0.00,10880.78,0.14,0.38
"Habitchuelas","2003",11549.00,0.00,11549.00,0.00,18.59,923.92,0.00,10606.49,0.13,0.36
"Habitchuelas","2004",11856.00,0.00,11856.00,0.00,18.98,948.48,0.00,10888.54,0.13,0.36
"Habitchuelas","2005",12049.00,0.00,12049.00,0.00,20.14,963.92,0.00,11064.94,0.13,0.36
"Habitchuelas","2006",13493.00,0.00,13493.00,0.00,20.22,1079.44,0.00,12393.34,0.14,0.38
"Habitchuelas","2007",15922.00,0.00,15922.00,0.00,21.74,1273.76,0.00,14626.50,0.17,0.47
"Habitchuelas","2008",16897.00,0.00,16897.00,0.00,22.34,1351.76,0.00,15522.90,0.17,0.47
"Habitchuelas","2009",16187.00,0.00,16187.00,0.00,21.97,1294.96,0.00,14870.07,0.16,0.44
