"Growth Rates of the Provincial Value of Production in Agriculture and Fisheries"

"Type of Valuation","Province","Subsector","2018-2019","2019-2020","2020-2021","2021-2022"
"Current Prices","Dinagat Islands","Fisheries",1.6,-7.1,26.9,17.1
"Current Prices","Dinagat Islands","Agriculture and Fisheries",-7.3,1.4,20.3,7.9
"Current Prices","Surigao del Norte","Crops",-19.6,15.0,7.9,-27.8
"Current Prices","Surigao del Norte","Livestock",-6.5,-13.3,-8.1,-17.5
"Current Prices","Surigao del Norte","Poultry",-35.3,-6.5,11.3,-23.4
"Current Prices","Surigao del Norte","Fisheries",-5.3,-2.6,-7.3,10.6
"Current Prices","Surigao del Norte","Agriculture and Fisheries",-11.6,1.3,-1.3,-9.8
"Current Prices","Surigao del Sur","Crops",-12.5,25.3,-3.0,6.9
"Current Prices","Surigao del Sur","Livestock",6.7,-7.3,22.8,-5.7
"Current Prices","Surigao del Sur","Poultry",-6.5,-1.8,14.1,12.8
"Current Prices","Surigao del Sur","Fisheries",20.3,-5.2,15.4,0.0
"Current Prices","Surigao del Sur","Agriculture and Fisheries",-2.5,12.0,4.3,3.8
"Current Prices","Basilan","Crops",16.1,17.7,-10.2,3.3
"Current Prices","Basilan","Livestock",8.9,10.4,3.8,58.9
"Current Prices","Basilan","Poultry",-18.0,10.9,-30.0,-9.3
"Current Prices","Basilan","Fisheries",-6.5,28.0,12.2,108.6
"Current Prices","Basilan","Agriculture and Fisheries",11.4,17.3,-6.6,23.8
"Current Prices","Lanao del Sur","Crops",9.1,5.3,-0.9,12.9
"Current Prices","Lanao del Sur","Livestock",-1.5,-8.4,10.2,31.6
"Current Prices","Lanao del Sur","Poultry",-18.5,25.5,30.7,9.2
"Current Prices","Lanao del Sur","Fisheries",39.1,16.5,2.4,-54.2
"Current Prices","Lanao del Sur","Agriculture and Fisheries",9.3,6.1,0.7,8.2
"Current Prices","Maguindanao","Crops",-1.4,0.3,13.1,15.6
"Current Prices","Maguindanao","Livestock",9.1,-8.3,16.2,30.7
"Current Prices","Maguindanao","Poultry",24.9,32.9,46.9,-13.0
"Current Prices","Maguindanao","Fisheries",6.9,6.5,86.7,5.4
"Current Prices","Maguindanao","Agriculture and Fisheries",0.3,1.0,24.8,13.5
"Current Prices","Sulu","Crops",5.7,14.8,-5.9,5.5
"Current Prices","Sulu","Livestock",15.5,10.8,22.5,13.8
"Current Prices","Sulu","Poultry",-22.0,8.8,41.3,4.7
"Current Prices","Sulu","Fisheries",0.7,-0.1,2.9,3.1
"Current Prices","Sulu","Agriculture and Fisheries",3.0,7.9,-0.4,4.8
"Current Prices","Tawi-Tawi","Crops",1.2,17.8,-9.2,5.3
"Current Prices","Tawi-Tawi","Livestock",39.3,-8.1,27.0,-24.8
"Current Prices","Tawi-Tawi","Poultry",-37.2,16.8,4.8,-19.1
"Current Prices","Tawi-Tawi","Fisheries",7.2,12.1,6.8,103.5
"Current Prices","Tawi-Tawi","Agriculture and Fisheries",4.8,13.5,1.8,69.2
"Constant 2018 Prices","Abra","Crops",21.7,2.3,5.5,-12.0
"Constant 2018 Prices","Abra","Livestock",-12.0,-13.8,6.8,-2.9
"Constant 2018 Prices","Abra","Poultry",-0.1,-13.9,28.0,6.7
"Constant 2018 Prices","Abra","Fisheries",-16.9,12.0,1.4,5.5
"Constant 2018 Prices","Abra","Agriculture and Fisheries",9.5,-2.0,6.4,-8.9
"Constant 2018 Prices","Apayao","Crops",10.0,17.4,-13.9,-8.9
"Constant 2018 Prices","Apayao","Livestock",1.2,-0.1,-4.2,-36.1
"Constant 2018 Prices","Apayao","Poultry",7.1,36.3,-8.8,1.3
"Constant 2018 Prices","Apayao","Fisheries",12.2,-26.3,-58.9,15.6
"Constant 2018 Prices","Apayao","Agriculture and Fisheries",8.4,14.7,-12.5,-12.7
"Constant 2018 Prices","Benguet","Crops",4.9,1.1,0.8,3.4
"Constant 2018 Prices","Benguet","Livestock",1.1,2.3,-4.4,-1.3
"Constant 2018 Prices","Benguet","Poultry",-0.7,11.5,18.4,10.6
"Constant 2018 Prices","Benguet","Fisheries",-12.6,-28.9,-43.6,176.0
"Constant 2018 Prices","Benguet","Agriculture and Fisheries",4.5,1.3,0.8,3.6
"Constant 2018 Prices","Ifugao","Crops",-3.7,-4.8,-23.7,-19.2
"Constant 2018 Prices","Ifugao","Livestock",5.7,18.7,-13.4,-20.0
"Constant 2018 Prices","Ifugao","Poultry",-9.2,-11.8,-10.6,7.8
"Constant 2018 Prices","Ifugao","Fisheries",-2.5,-17.5,34.2,-17.1
"Constant 2018 Prices","Ifugao","Agriculture and Fisheries",-3.2,-2.8,-17.5,-15.2
"Constant 2018 Prices","Kalinga","Crops",4.5,-24.7,14.3,-5.2
"Constant 2018 Prices","Kalinga","Livestock",0.5,-19.5,-49.6,49.6
"Constant 2018 Prices","Kalinga","Poultry",11.3,2.6,-8.4,-4.3
"Constant 2018 Prices","Kalinga","Fisheries",2.9,7.3,-12.7,6.0
"Constant 2018 Prices","Kalinga","Agriculture and Fisheries",4.0,-22.9,2.3,-0.5
"Constant 2018 Prices","Mt. Province","Crops",-3.5,4.3,-1.3,-1.4
"Constant 2018 Prices","Mt. Province","Livestock",8.4,-11.1,1.9,-5.6
"Constant 2018 Prices","Mt. Province","Poultry",-6.8,2.2,4.9,20.9
"Constant 2018 Prices","Mt. Province","Fisheries",-19.2,30.1,32.5,14.5
"Constant 2018 Prices","Mt. Province","Agriculture and Fisheries",-1.3,0.9,-0.4,-1.2
"Constant 2018 Prices","Ilocos Norte","Crops",7.6,1.2,-1.3,-1.8
"Constant 2018 Prices","Ilocos Norte","Livestock",5.6,11.9,3.8,-29.9
"Constant 2018 Prices","Ilocos Norte","Poultry",13.5,8.2,0.8,-4.5
"Constant 2018 Prices","Ilocos Norte","Fisheries",-13.4,13.0,-15.2,-20.4
"Constant 2018 Prices","Ilocos Norte","Agriculture and Fisheries",6.9,3.9,-0.7,-7.7
"Constant 2018 Prices","Ilocos Sur","Crops",10.7,1.7,-0.4,-2.4
"Constant 2018 Prices","Ilocos Sur","Livestock",3.2,-2.1,-6.4,-2.8
"Constant 2018 Prices","Ilocos Sur","Poultry",-14.2,5.9,-5.9,24.5
"Constant 2018 Prices","Ilocos Sur","Fisheries",4.3,2.6,-1.6,2.1
"Constant 2018 Prices","Ilocos Sur","Agriculture and Fisheries",7.8,1.3,-1.6,-1.1
"Constant 2018 Prices","La Union","Crops",8.0,2.6,-10.0,4.6
"Constant 2018 Prices","La Union","Livestock",-2.1,-11.4,-51.6,18.6
"Constant 2018 Prices","La Union","Poultry",9.8,-4.0,3.7,31.2
"Constant 2018 Prices","La Union","Fisheries",3.6,10.8,17.8,-2.3
"Constant 2018 Prices","La Union","Agriculture and Fisheries",5.5,-0.6,-12.8,9.8
"Constant 2018 Prices","Pangasinan","Crops",2.7,1.1,1.5,2.5
"Constant 2018 Prices","Pangasinan","Livestock",-2.4,-12.2,-35.6,1.1
"Constant 2018 Prices","Pangasinan","Poultry",-3.7,1.6,-14.3,6.5
"Constant 2018 Prices","Pangasinan","Fisheries",9.9,5.2,5.8,3.9
"Constant 2018 Prices","Pangasinan","Agriculture and Fisheries",2.9,0.4,-2.9,3.1
"Constant 2018 Prices","Batanes","Crops",-1.0,3.4,-1.4,17.3
"Constant 2018 Prices","Batanes","Livestock",27.9,-42.1,3.0,10.1
"Constant 2018 Prices","Batanes","Poultry",-3.5,-6.4,14.2,-19.9
"Constant 2018 Prices","Batanes","Fisheries",-11.0,-3.4,0.9,33.2
"Constant 2018 Prices","Batanes","Agriculture and Fisheries",1.9,-13.2,1.1,20.2
"Constant 2018 Prices","Cagayan","Crops",10.8,1.7,13.6,2.1
"Constant 2018 Prices","Cagayan","Livestock",-3.8,1.7,-21.5,-20.1
"Constant 2018 Prices","Cagayan","Poultry",-12.0,-3.8,-3.6,-8.1
"Constant 2018 Prices","Cagayan","Fisheries",-6.0,1.7,1.6,8.4
"Constant 2018 Prices","Cagayan","Agriculture and Fisheries",6.2,1.5,7.8,0.4
"Constant 2018 Prices","Isabela","Crops",10.4,-0.7,1.3,1.8
"Constant 2018 Prices","Isabela","Livestock",3.3,-14.9,-49.4,1.7
"Constant 2018 Prices","Isabela","Poultry",1.5,-4.5,11.6,-7.6
"Constant 2018 Prices","Isabela","Fisheries",3.9,-2.9,5.3,6.9
"Constant 2018 Prices","Isabela","Agriculture and Fisheries",9.0,-2.2,-1.3,1.1
"Constant 2018 Prices","Nueva Viscaya","Crops",0.0,-2.6,11.1,-3.1
"Constant 2018 Prices","Nueva Viscaya","Livestock",3.3,3.8,-22.2,-1.6
"Constant 2018 Prices","Nueva Viscaya","Poultry",-7.3,-3.4,13.9,-26.4
"Constant 2018 Prices","Nueva Viscaya","Fisheries",5.6,4.9,1.3,6.1
"Constant 2018 Prices","Nueva Viscaya","Agriculture and Fisheries",0.0,-1.8,7.1,-4.4
"Constant 2018 Prices","Quirino","Crops",0.7,7.4,-2.6,6.9
"Constant 2018 Prices","Quirino","Livestock",-0.1,5.5,-33.3,-38.4
"Constant 2018 Prices","Quirino","Poultry",-1.4,7.7,10.3,0.8
"Constant 2018 Prices","Quirino","Fisheries",-8.3,-7.3,5.7,14.8
"Constant 2018 Prices","Quirino","Agriculture and Fisheries",0.3,7.1,-5.1,3.0
"Constant 2018 Prices","Aurora","Crops",1.6,-9.4,12.3,-3.9
"Constant 2018 Prices","Aurora","Livestock",12.9,-28.4,-32.6,3.2
"Constant 2018 Prices","Aurora","Poultry",-13.5,6.7,1.8,-0.8
"Constant 2018 Prices","Aurora","Fisheries",-6.6,-17.4,-2.1,11.8
"Constant 2018 Prices","Aurora","Agriculture and Fisheries",2.8,-13.4,4.0,-2.2
"Constant 2018 Prices","Bataan","Crops",-8.4,6.4,-4.4,0.3
"Constant 2018 Prices","Bataan","Livestock",4.4,-52.1,-54.6,47.4
"Constant 2018 Prices","Bataan","Poultry",-4.5,-9.6,-12.8,-17.8
"Constant 2018 Prices","Bataan","Fisheries",17.2,-6.1,-3.3,-16.8
"Constant 2018 Prices","Bataan","Agriculture and Fisheries",1.3,-12.0,-11.4,-9.3
"Constant 2018 Prices","Bulacan","Crops",0.6,-3.9,4.0,3.8
"Constant 2018 Prices","Bulacan","Livestock",-18.9,-31.9,-83.0,20.0
"Constant 2018 Prices","Bulacan","Poultry",15.3,-13.7,-1.8,9.3
"Constant 2018 Prices","Bulacan","Fisheries",-1.9,-15.3,12.2,27.4
"Constant 2018 Prices","Bulacan","Agriculture and Fisheries",-5.0,-19.9,-29.4,10.3
"Constant 2018 Prices","Nueva Ecija","Crops",6.0,-1.9,-1.8,-4.1
"Constant 2018 Prices","Nueva Ecija","Livestock",-3.8,-26.4,1.2,-8.0
"Constant 2018 Prices","Nueva Ecija","Poultry",3.7,1.8,-8.8,-2.1
"Constant 2018 Prices","Nueva Ecija","Fisheries",-3.5,-2.7,32.1,-33.6
"Constant 2018 Prices","Nueva Ecija","Agriculture and Fisheries",4.9,-2.8,-2.6,-4.2
"Constant 2018 Prices","Pampanga","Crops",4.1,-5.7,11.4,0.2
"Constant 2018 Prices","Pampanga","Livestock",-12.1,-16.9,-3.7,23.9
"Constant 2018 Prices","Pampanga","Poultry",9.3,-4.3,-2.6,-1.3
"Constant 2018 Prices","Pampanga","Fisheries",4.1,5.6,15.9,-6.6
"Constant 2018 Prices","Pampanga","Agriculture and Fisheries",3.9,-1.9,7.5,-1.6
"Constant 2018 Prices","Tarlac","Crops",0.0,-0.6,4.6,-1.6
"Constant 2018 Prices","Tarlac","Livestock",0.2,-4.0,-67.9,26.7
"Constant 2018 Prices","Tarlac","Poultry",1.0,-3.3,-0.8,51.5
"Constant 2018 Prices","Tarlac","Fisheries",-13.2,4.1,-52.4,-34.1
"Constant 2018 Prices","Tarlac","Agriculture and Fisheries",0.1,-2.4,-21.7,18.6
"Constant 2018 Prices","Zambales","Crops",5.2,15.2,0.9,-7.5
"Constant 2018 Prices","Zambales","Livestock",1.5,13.9,-70.9,5.3
"Constant 2018 Prices","Zambales","Poultry",-8.4,-9.8,10.7,-10.1
"Constant 2018 Prices","Zambales","Fisheries",0.0,6.4,9.9,4.9
"Constant 2018 Prices","Zambales","Agriculture and Fisheries",0.3,7.9,-8.8,-1.8
"Constant 2018 Prices","Batangas","Crops",-12.0,-14.5,5.9,-7.5
"Constant 2018 Prices","Batangas","Livestock",7.3,-14.1,-25.0,15.6
"Constant 2018 Prices","Batangas","Poultry",10.9,3.6,5.5,3.6
"Constant 2018 Prices","Batangas","Fisheries",-17.2,-26.6,10.7,-19.4
"Constant 2018 Prices","Batangas","Agriculture and Fisheries",2.5,-9.3,-6.1,3.6
"Constant 2018 Prices","Cavite","Crops",-13.6,-18.4,7.6,0.8
"Constant 2018 Prices","Cavite","Livestock",-1.0,-6.6,-33.9,-28.6
"Constant 2018 Prices","Cavite","Poultry",0.7,-5.0,-2.0,18.0
"Constant 2018 Prices","Cavite","Fisheries",-33.3,-6.8,18.8,-0.9
"Constant 2018 Prices","Cavite","Agriculture and Fisheries",-9.2,-10.2,-8.7,-2.7
"Constant 2018 Prices","Laguna","Crops",6.6,-7.9,-4.1,3.4
"Constant 2018 Prices","Laguna","Livestock",-5.6,15.6,-69.3,6.0
"Constant 2018 Prices","Laguna","Poultry",12.7,-20.7,8.8,2.3
"Constant 2018 Prices","Laguna","Fisheries",101.9,-2.5,-20.8,-35.4
"Constant 2018 Prices","Laguna","Agriculture and Fisheries",12.2,-4.4,-25.7,-2.9
"Constant 2018 Prices","Quezon","Crops",-8.0,0.7,1.3,-1.8
"Constant 2018 Prices","Quezon","Livestock",5.2,-0.6,-15.6,-11.7
"Constant 2018 Prices","Quezon","Poultry",3.9,0.2,-6.3,7.2
"Constant 2018 Prices","Quezon","Fisheries",-3.5,-10.6,0.8,-0.8
"Constant 2018 Prices","Quezon","Agriculture and Fisheries",-2.6,-2.0,-3.6,-1.6
"Constant 2018 Prices","Rizal","Crops",-19.4,-16.2,33.2,4.0
"Constant 2018 Prices","Rizal","Livestock",-0.1,-26.5,-87.0,46.0
"Constant 2018 Prices","Rizal","Poultry",-4.0,-9.3,-4.2,3.9
"Constant 2018 Prices","Rizal","Fisheries",96.9,-21.4,-18.8,-17.9
"Constant 2018 Prices","Rizal","Agriculture and Fisheries",5.4,-19.6,-41.9,3.7
"Constant 2018 Prices","Marinduque","Crops",-10.8,7.2,-2.6,7.2
"Constant 2018 Prices","Marinduque","Livestock",4.9,-4.3,-3.3,-28.0
"Constant 2018 Prices","Marinduque","Poultry",-11.4,1.1,25.6,37.3
"Constant 2018 Prices","Marinduque","Fisheries",2.2,-1.1,7.5,-44.7
"Constant 2018 Prices","Marinduque","Agriculture and Fisheries",-2.1,0.5,-0.1,-16.4
"Constant 2018 Prices","Occidental Mindoro","Crops",-1.1,-6.9,18.9,5.4
"Constant 2018 Prices","Occidental Mindoro","Livestock",-13.0,-9.8,15.4,-12.2
"Constant 2018 Prices","Occidental Mindoro","Poultry",-1.7,-1.1,-3.2,14.5
"Constant 2018 Prices","Occidental Mindoro","Fisheries",11.0,2.3,35.6,-9.3
"Constant 2018 Prices","Occidental Mindoro","Agriculture and Fisheries",-1.7,-6.3,19.4,2.2
"Constant 2018 Prices","Oriental Mindoro","Crops",1.1,-9.5,-4.7,-0.1
"Constant 2018 Prices","Oriental Mindoro","Livestock",-16.6,-10.6,63.0,14.5
"Constant 2018 Prices","Oriental Mindoro","Poultry",4.4,-5.3,57.4,-5.8
"Constant 2018 Prices","Oriental Mindoro","Fisheries",-11.8,2.6,-0.3,-32.7
"Constant 2018 Prices","Oriental Mindoro","Agriculture and Fisheries",-2.3,-8.8,6.2,0.6
"Constant 2018 Prices","Palawan","Crops",3.7,3.4,3.6,-9.0
"Constant 2018 Prices","Palawan","Livestock",4.6,3.4,1.9,1.4
"Constant 2018 Prices","Palawan","Poultry",7.1,1.5,-4.2,17.0
"Constant 2018 Prices","Palawan","Fisheries",0.4,-1.9,-12.1,-12.2
"Constant 2018 Prices","Palawan","Agriculture and Fisheries",2.6,1.3,-2.7,-7.7
"Constant 2018 Prices","Romblon","Crops",-4.5,-2.6,3.8,6.0
"Constant 2018 Prices","Romblon","Livestock",-0.9,-16.9,33.2,-5.6
"Constant 2018 Prices","Romblon","Poultry",3.4,6.8,8.4,26.3
"Constant 2018 Prices","Romblon","Fisheries",-4.3,-12.3,-9.7,26.1
"Constant 2018 Prices","Romblon","Agriculture and Fisheries",-3.2,-6.3,7.7,7.3
"Constant 2018 Prices","Albay","Crops",-5.5,3.9,3.8,5.2
"Constant 2018 Prices","Albay","Livestock",6.7,-12.5,-47.0,3.8
"Constant 2018 Prices","Albay","Poultry",15.7,6.2,18.3,11.4
"Constant 2018 Prices","Albay","Fisheries",9.2,-4.0,10.7,-20.3
"Constant 2018 Prices","Albay","Agriculture and Fisheries",0.7,-1.3,-6.3,2.0
"Constant 2018 Prices","Camarines Norte","Crops",-1.5,-0.3,3.1,0.0
"Constant 2018 Prices","Camarines Norte","Livestock",3.8,2.1,2.1,-0.4
"Constant 2018 Prices","Camarines Norte","Poultry",-10.0,-4.8,5.4,-2.0
"Constant 2018 Prices","Camarines Norte","Fisheries",3.7,-36.2,-24.7,-43.5
"Constant 2018 Prices","Camarines Norte","Agriculture and Fisheries",0.7,-9.2,-2.1,-6.3
"Constant 2018 Prices","Camarines Sur","Crops",-9.6,4.7,0.9,0.0
"Constant 2018 Prices","Camarines Sur","Livestock",2.0,-19.2,-3.9,-2.6
"Constant 2018 Prices","Camarines Sur","Poultry",22.4,-15.1,9.2,13.5
"Constant 2018 Prices","Camarines Sur","Fisheries",-15.2,-7.3,-8.2,58.7
"Constant 2018 Prices","Camarines Sur","Agriculture and Fisheries",-4.9,-3.6,0.2,6.7
"Constant 2018 Prices","Catanduanes","Crops",-8.1,-1.4,-35.3,33.9
"Constant 2018 Prices","Catanduanes","Livestock",0.9,5.1,-69.9,-19.3
"Constant 2018 Prices","Catanduanes","Poultry",20.3,7.1,15.2,-6.1
"Constant 2018 Prices","Catanduanes","Fisheries",-23.5,-9.4,-33.1,-6.3
"Constant 2018 Prices","Catanduanes","Agriculture and Fisheries",-7.7,-0.6,-41.9,21.2
"Constant 2018 Prices","Masbate","Crops",2.0,2.2,3.8,4.0
"Constant 2018 Prices","Masbate","Livestock",2.7,-6.0,1.0,2.2
"Constant 2018 Prices","Masbate","Poultry",2.7,4.6,-35.7,-9.9
"Constant 2018 Prices","Masbate","Fisheries",-5.4,-20.7,-0.3,-26.5
"Constant 2018 Prices","Masbate","Agriculture and Fisheries",-0.4,-7.4,1.0,-5.2
"Constant 2018 Prices","Sorsogon","Crops",-12.1,3.9,1.2,-0.8
"Constant 2018 Prices","Sorsogon","Livestock",-6.1,-2.4,-1.1,9.1
"Constant 2018 Prices","Sorsogon","Poultry",-6.1,-25.4,-9.4,-13.6
"Constant 2018 Prices","Sorsogon","Fisheries",-17.5,79.1,-33.9,0.4
"Constant 2018 Prices","Sorsogon","Agriculture and Fisheries",-11.8,18.8,-13.4,0.9
"Constant 2018 Prices","Aklan","Crops",-5.9,9.9,-2.7,6.6
"Constant 2018 Prices","Aklan","Livestock",-0.9,-11.2,-2.7,8.2
"Constant 2018 Prices","Aklan","Poultry",17.7,0.2,6.8,-0.1
"Constant 2018 Prices","Aklan","Fisheries",14.4,-3.9,-20.7,-14.8
"Constant 2018 Prices","Aklan","Agriculture and Fisheries",3.3,-0.7,-5.7,1.4
"Constant 2018 Prices","Antique","Crops",2.0,-10.2,11.2,2.6
"Constant 2018 Prices","Antique","Livestock",-2.4,-0.6,-9.4,4.2
"Constant 2018 Prices","Antique","Poultry",-3.7,-1.5,-0.7,1.2
"Constant 2018 Prices","Antique","Fisheries",-6.8,8.7,6.0,81.8
"Constant 2018 Prices","Antique","Agriculture and Fisheries",-0.5,-5.2,5.9,16.1
"Constant 2018 Prices","Capiz","Crops",-8.8,14.0,4.5,-3.5
"Constant 2018 Prices","Capiz","Livestock",3.9,7.8,-5.7,3.0
"Constant 2018 Prices","Capiz","Poultry",-1.1,-5.0,-1.3,23.1
"Constant 2018 Prices","Capiz","Fisheries",26.9,-6.6,9.6,-4.5
"Constant 2018 Prices","Capiz","Agriculture and Fisheries",5.5,3.3,4.7,-1.4
"Constant 2018 Prices","Guimaras","Crops",7.1,14.2,7.3,5.1
"Constant 2018 Prices","Guimaras","Livestock",-9.3,-3.0,0.9,1.9
"Constant 2018 Prices","Guimaras","Poultry",-1.2,-6.9,-0.8,-2.2
"Constant 2018 Prices","Guimaras","Fisheries",-4.5,-1.1,-0.6,-25.8
"Constant 2018 Prices","Guimaras","Agriculture and Fisheries",1.3,6.8,4.4,-0.6
"Constant 2018 Prices","Iloilo","Crops",-8.3,13.3,2.3,-1.5
"Constant 2018 Prices","Iloilo","Livestock",3.9,-3.7,4.8,3.7
"Constant 2018 Prices","Iloilo","Poultry",9.2,1.9,2.9,5.6
"Constant 2018 Prices","Iloilo","Fisheries",-15.7,15.0,-3.6,-19.2
"Constant 2018 Prices","Iloilo","Agriculture and Fisheries",-4.8,8.4,2.0,-1.8
"Constant 2018 Prices","Negros Occidental","Crops",-7.7,11.3,3.0,-7.7
"Constant 2018 Prices","Negros Occidental","Livestock",0.0,1.6,6.4,-3.0
"Constant 2018 Prices","Negros Occidental","Poultry",2.7,0.6,0.3,-2.7
"Constant 2018 Prices","Negros Occidental","Fisheries",-3.6,-15.7,4.8,-15.6
"Constant 2018 Prices","Negros Occidental","Agriculture and Fisheries",-5.1,4.9,3.5,-7.5
"Constant 2018 Prices","Bohol","Crops",-17.5,7.5,4.2,-32.6
"Constant 2018 Prices","Bohol","Livestock",-8.6,-5.4,-4.5,-0.7
"Constant 2018 Prices","Bohol","Poultry",-0.9,-23.5,3.1,29.1
"Constant 2018 Prices","Bohol","Fisheries",12.0,-2.3,-0.5,-33.7
"Constant 2018 Prices","Bohol","Agriculture and Fisheries",-8.1,-4.1,0.6,-13.2
"Constant 2018 Prices","Cebu","Crops",-7.9,-0.7,-2.1,-9.3
"Constant 2018 Prices","Cebu","Livestock",0.7,-3.4,15.8,8.7
"Constant 2018 Prices","Cebu","Poultry",5.0,0.9,7.6,4.5
"Constant 2018 Prices","Cebu","Fisheries",-0.6,19.3,0.6,-49.5
"Constant 2018 Prices","Cebu","Agriculture and Fisheries",-0.3,1.8,7.1,-5.4
"Constant 2018 Prices","Negros Oriental","Crops",-6.8,6.5,9.5,-12.5
"Constant 2018 Prices","Negros Oriental","Livestock",2.5,0.5,4.2,21.9
"Constant 2018 Prices","Negros Oriental","Poultry",1.1,-0.8,-19.7,30.1
"Constant 2018 Prices","Negros Oriental","Fisheries",7.7,40.1,4.8,-8.9
"Constant 2018 Prices","Negros Oriental","Agriculture and Fisheries",-2.3,6.3,4.8,1.0
"Constant 2018 Prices","Siquijor","Crops",-15.0,10.2,6.8,-5.9
"Constant 2018 Prices","Siquijor","Livestock",5.7,-2.0,6.0,-1.8
"Constant 2018 Prices","Siquijor","Poultry",-4.1,6.4,-4.2,12.9
"Constant 2018 Prices","Siquijor","Fisheries",14.4,6.0,-23.9,-7.1
"Constant 2018 Prices","Siquijor","Agriculture and Fisheries",-0.3,4.1,-2.1,-2.9
"Constant 2018 Prices","Biliran","Crops",-3.3,-1.1,1.8,0.9
"Constant 2018 Prices","Biliran","Livestock",3.1,-13.0,3.6,-21.7
"Constant 2018 Prices","Biliran","Poultry",-6.0,-12.0,-14.5,-22.1
"Constant 2018 Prices","Biliran","Fisheries",22.3,3.5,0.0,-17.8
"Constant 2018 Prices","Biliran","Agriculture and Fisheries",2.8,-1.4,1.1,-6.6
"Constant 2018 Prices","Eastern Samar","Crops",-0.8,-12.0,1.2,5.4
"Constant 2018 Prices","Eastern Samar","Livestock",-1.9,-17.3,-11.9,12.4
"Constant 2018 Prices","Eastern Samar","Poultry",-10.7,-18.7,-16.2,44.1
"Constant 2018 Prices","Eastern Samar","Fisheries",-0.4,6.1,1.4,-12.2
"Constant 2018 Prices","Eastern Samar","Agriculture and Fisheries",-0.8,-5.8,0.1,-1.4
"Constant 2018 Prices","Leyte","Crops",-2.6,0.4,-5.5,-0.2
"Constant 2018 Prices","Leyte","Livestock",-0.9,7.3,-0.4,-36.4
"Constant 2018 Prices","Leyte","Poultry",18.5,-10.0,2.1,-6.9
"Constant 2018 Prices","Leyte","Fisheries",37.5,-15.5,11.0,-6.5
"Constant 2018 Prices","Leyte","Agriculture and Fisheries",3.5,-1.1,-1.9,-11.4
"Constant 2018 Prices","Northern Samar","Crops",-3.5,5.0,-9.7,0.2
"Constant 2018 Prices","Northern Samar","Livestock",7.6,-13.4,-18.1,6.3
"Constant 2018 Prices","Northern Samar","Poultry",-15.4,17.2,23.7,-5.8
"Constant 2018 Prices","Northern Samar","Fisheries",1.5,9.2,13.6,-10.4
"Constant 2018 Prices","Northern Samar","Agriculture and Fisheries",-1.3,3.5,-4.5,-2.3
"Constant 2018 Prices","Samar","Crops",0.8,5.8,2.3,4.7
"Constant 2018 Prices","Samar","Livestock",3.9,4.2,8.6,-23.2
"Constant 2018 Prices","Samar","Poultry",-16.9,9.2,-20.5,84.2
"Constant 2018 Prices","Samar","Fisheries",16.0,-12.0,5.5,-18.6
"Constant 2018 Prices","Samar","Agriculture and Fisheries",4.4,0.5,2.8,-1.6
"Constant 2018 Prices","Southern Leyte","Crops",-3.6,0.8,-1.0,-28.0
"Constant 2018 Prices","Southern Leyte","Livestock",1.5,-0.6,2.9,-33.9
"Constant 2018 Prices","Southern Leyte","Poultry",8.5,20.1,9.1,-42.5
"Constant 2018 Prices","Southern Leyte","Fisheries",11.8,40.0,11.5,29.9
"Constant 2018 Prices","Southern Leyte","Agriculture and Fisheries",-1.0,5.7,1.8,-20.9
"Constant 2018 Prices","Zamboanga del Norte","Crops",-2.1,-2.7,1.5,-3.0
"Constant 2018 Prices","Zamboanga del Norte","Livestock",3.4,1.3,6.0,8.4
"Constant 2018 Prices","Zamboanga del Norte","Poultry",6.8,5.4,12.4,1.8
"Constant 2018 Prices","Zamboanga del Norte","Fisheries",22.5,7.5,0.3,11.3
"Constant 2018 Prices","Zamboanga del Norte","Agriculture and Fisheries",2.5,0.0,2.8,1.7
"Constant 2018 Prices","Zamboanga del Sur*","Crops",-7.3,-4.5,3.4,0.0
"Constant 2018 Prices","Zamboanga del Sur*","Livestock",-1.1,-3.8,-5.7,11.9
"Constant 2018 Prices","Zamboanga del Sur*","Poultry",13.9,-0.3,6.6,-8.4
"Constant 2018 Prices","Zamboanga del Sur*","Fisheries",0.7,0.7,-3.4,-2.2
"Constant 2018 Prices","Zamboanga del Sur*","Agriculture and Fisheries",-2.0,-2.3,0.3,-0.2
"Constant 2018 Prices","Zamboanga Sibugay","Crops",0.0,0.6,1.2,1.6
"Constant 2018 Prices","Zamboanga Sibugay","Livestock",-5.1,2.4,13.3,10.8
"Constant 2018 Prices","Zamboanga Sibugay","Poultry",-11.8,-2.2,0.9,-1.8
"Constant 2018 Prices","Zamboanga Sibugay","Fisheries",12.3,0.3,5.5,-20.5
"Constant 2018 Prices","Zamboanga Sibugay","Agriculture and Fisheries",1.1,0.7,3.8,-1.4
"Constant 2018 Prices","Bukidnon","Crops",0.0,1.2,7.0,1.2
"Constant 2018 Prices","Bukidnon","Livestock",4.0,5.3,9.2,1.5
"Constant 2018 Prices","Bukidnon","Poultry",4.1,2.9,3.4,13.9
"Constant 2018 Prices","Bukidnon","Fisheries",10.2,4.7,-80.1,14.1
"Constant 2018 Prices","Bukidnon","Agriculture and Fisheries",1.0,2.0,6.8,2.5
"Constant 2018 Prices","Camiguin","Crops",15.7,-8.0,-9.2,-1.8
"Constant 2018 Prices","Camiguin","Livestock",13.8,7.7,-0.5,-13.1
