Crop,Geolocation,2013 Quarter1,2013 Quarter2,2013 Semester1,2013 Quarter3,2013 Quarter4,2013 Semester2,2013 Annual,2014 Quarter1,2014 Quarter2,2014 Semester1,2014 Quarter3,2014 Quarter4,2014 Semester2,2014 Annual,2015 Quarter1,2015 Quarter2,2015 Semester1,2015 Quarter3,2015 Quarter4,2015 Semester2,2015 Annual,2016 Quarter1,2016 Quarter2,2016 Semester1,2016 Quarter3,2016 Quarter4,2016 Semester2,2016 Annual,2017 Quarter1,2017 Quarter2,2017 Semester1,2017 Quarter3,2017 Quarter4,2017 Semester2,2017 Annual,2018 Quarter1,2018 Quarter2,2018 Semester1,2018 Quarter3,2018 Quarter4,2018 Semester2,2018 Annual,2019 Quarter1,2019 Quarter2,2019 Semester1,2019 Quarter3,2019 Quarter4,2019 Semester2,2019 Annual,2020 Quarter1,2020 Quarter2,2020 Semester1,2020 Quarter3,2020 Quarter4,2020 Semester2,2020 Annual,2021 Quarter1,2021 Quarter2,2021 Semester1,2021 Quarter3,2021 Quarter4,2021 Semester2,2021 Annual,2022 Quarter1,2022 Quarter2,2022 Semester1,2022 Quarter3,2022 Quarter4,2022 Semester2,2022 Annual,2023 Quarter1,2023 Quarter2,2023 Semester1,2023 Quarter3,2023 Quarter4,2023 Semester2,2023 Annual
Coffee Robusta (green coffee beans),..REGION I (ILOCOS REGION),,17.75,17.75,,4.5,4.5,22.24,,18.04,18.04,,4.35,4.35,22.38,0.15,16.62,16.77,,3.85,3.85,20.63,16.54,18.07,34.6,0.01,2.96,2.96,37.56,10.24,18.96,29.2,0.01,2.22,2.22,31.42,12.07,19.77,31.84,0.01,2.17,2.18,34.01,11.74,19.72,31.46,,2.33,2.33,33.78,12.27,18.51,30.77,,2.44,2.44,33.21,12.62,19.29,31.91,,2.32,2.32,34.22,12.24,19.1,31.33,,2.31,2.31,33.64,12.44,19.2,31.64,,2.95,2.95,34.6
Coffee Robusta (green coffee beans),..REGION II (CAGAYAN VALLEY),239.22,13.19,252.41,,,,252.41,233.24,13.84,247.08,,,,247.08,236.69,14.4,251.08,,,,251.08,228.99,23.43,252.42,,,,252.42,235.48,23.13,258.6,,,,258.6,234.68,56.1,290.78,,,,290.78,240.47,58.1,298.56,,24.5,24.5,323.06,282.92,61.24,344.15,,23.51,23.51,367.66,317.47,67.66,385.14,,25.42,25.42,410.56,342.79,77.33,420.13,,29.21,29.21,449.34,407.82,107.34,515.16,,33.2,33.2,548.36
Coffee Robusta (green coffee beans),..REGION III (CENTRAL LUZON),719.0,68.1,787.1,,43.75,43.75,830.85,687.75,68.5,756.25,,45.13,45.13,801.38,707.0,70.0,777.0,,29.25,29.25,806.25,485.0,69.5,554.5,,25.07,25.07,579.57,464.7,52.75,517.45,,18.08,18.08,535.53,446.89,51.24,498.13,0.7,17.92,18.62,516.75,406.7,16.31,423.01,,14.9,14.9,437.91,362.35,13.89,376.24,0.13,14.64,14.76,391.01,367.92,0.05,367.97,0.09,2.58,2.67,370.63,464.76,0.01,464.76,21.04,20.2,41.25,506.01,468.62,0.01,468.63,22.65,12.09,34.74,503.37
Coffee Robusta (green coffee beans),..REGION IV-A (CALABARZON),2142.42,2.45,2144.86,,98.21,98.21,2243.08,1902.28,2.0,1904.28,,90.36,90.36,1994.63,794.76,3.24,798.0,,104.95,104.95,902.94,1072.66,3.4,1076.06,,99.7,99.7,1175.76,728.11,2.79,730.9,,102.96,102.96,833.86,717.82,4.42,722.24,,74.5,74.5,796.74,433.57,3.51,437.07,,83.07,83.07,520.14,376.72,2.98,379.7,,67.81,67.81,447.5,414.34,2.75,417.09,,99.04,99.04,516.13,464.64,6.69,471.32,,131.46,131.46,602.78,548.47,7.97,556.44,0.84,133.14,133.98,690.42
Coffee Robusta (green coffee beans),..MIMAROPA REGION,9.13,22.46,31.58,,30.67,30.67,62.25,9.09,22.09,31.18,,32.94,32.94,64.12,8.82,22.22,31.05,,33.68,33.68,64.72,8.5,20.1,28.59,,32.62,32.62,61.21,8.34,18.5,26.84,,32.88,32.88,59.72,7.91,18.18,26.09,,33.1,33.1,59.19,7.76,18.28,26.04,,32.86,32.86,58.9,6.37,18.34,24.71,,29.58,29.58,54.29,7.43,14.62,22.05,,31.1,31.1,53.15,3.68,10.79,14.47,,10.84,10.84,25.31,4.83,6.45,11.28,4.78,11.28,16.06,27.34
Coffee Robusta (green coffee beans),..REGION V (BICOL REGION),33.0,13.02,46.02,6.91,69.25,76.16,122.17,32.48,12.43,44.91,5.4,61.8,67.2,112.11,30.05,12.07,42.12,6.06,62.39,68.44,110.56,24.48,10.87,35.35,5.67,57.67,63.33,98.69,23.7,10.75,34.44,5.07,53.4,58.47,92.91,22.79,10.11,32.91,4.0,47.06,51.06,83.97,20.53,9.32,29.86,4.44,43.36,47.8,77.66,15.19,8.66,23.85,3.66,32.47,36.13,59.97,10.33,4.51,14.84,3.24,22.04,25.28,40.12,5.58,2.32,7.9,3.32,16.77,20.09,27.99,2.23,1.96,4.19,2.95,14.79,17.74,21.93
Coffee Robusta (green coffee beans),..REGION VI (WESTERN VISAYAS),568.69,12.41,581.1,0.5,1384.55,1385.05,1966.14,463.4,7.22,470.62,0.48,1247.64,1248.11,1718.73,463.81,7.49,471.3,0.47,1260.92,1261.39,1732.68,487.45,7.97,495.42,0.46,1225.57,1226.03,1721.44,459.53,7.95,467.48,0.45,1329.04,1329.49,1796.97,449.02,7.62,456.64,0.48,1250.11,1250.58,1707.22,435.84,7.79,443.63,0.7,1293.5,1294.2,1737.82,440.25,8.53,448.78,0.73,1238.62,1239.35,1688.13,458.75,9.14,467.89,0.71,1102.08,1102.78,1570.67,452.55,10.04,462.59,0.91,973.87,974.78,1437.37,452.12,9.73,461.85,2.97,942.49,945.46,1407.31
Coffee Robusta (green coffee beans),..REGION VII (CENTRAL VISAYAS),80.9,0.5,81.4,0.37,21.5,21.87,103.27,70.71,0.46,71.17,0.38,24.26,24.63,95.8,69.39,0.34,69.72,2.77,19.84,22.61,92.33,63.4,0.08,63.47,2.1,18.54,20.64,84.11,63.04,0.32,63.36,0.4,22.7,23.1,86.46,62.14,0.08,62.22,0.5,21.58,22.08,84.3,56.97,,56.97,0.49,20.54,21.03,78.0,33.1,,33.1,0.5,16.89,17.39,50.49,26.49,,26.49,0.6,17.54,18.14,44.63,12.47,,12.47,0.55,9.66,10.21,22.68,22.33,,22.33,127.09,17.69,144.78,167.11
Coffee Robusta (green coffee beans),..REGION VIII (EASTERN VISAYAS),3.72,18.48,22.2,0.22,3.86,4.08,26.28,0.81,5.84,6.65,0.22,3.57,3.79,10.43,0.55,5.35,5.9,0.21,5.13,5.34,11.24,1.26,6.44,7.69,0.2,5.07,5.27,12.96,1.1,4.45,5.55,0.54,5.23,5.77,11.31,1.05,4.48,5.53,0.56,4.72,5.28,10.81,1.27,4.22,5.49,0.4,5.19,5.58,11.07,1.49,4.32,5.81,0.64,4.95,5.59,11.39,1.51,4.22,5.73,0.5,4.71,5.2,10.93,1.39,4.46,5.85,0.45,4.37,4.82,10.67,1.12,2.68,3.8,1.35,5.43,6.78,10.58
Coffee Robusta (green coffee beans),..REGION IX (ZAMBOANGA PENINSULA),31.8,49.52,81.31,46.75,93.36,140.11,221.43,30.89,51.67,82.56,47.93,95.79,143.71,226.27,31.83,53.36,85.18,48.2,101.75,149.95,235.13,29.41,50.27,79.68,44.49,63.7,108.19,187.87,28.0,41.52,69.51,32.4,54.41,86.81,156.32,32.66,35.43,68.09,37.01,55.51,92.51,160.6,31.32,27.95,59.27,39.31,58.67,97.98,157.25,29.41,26.96,56.37,52.44,65.99,118.43,174.79,30.26,29.99,60.25,30.83,59.42,90.25,150.5,18.24,34.0,52.24,9.22,54.9,64.12,116.36,14.11,17.13,31.24,6.56,49.16,55.72,86.96
Coffee Robusta (green coffee beans),..REGION X (NORTHERN MINDANAO),832.05,126.49,958.54,266.43,1103.95,1370.38,2328.92,880.55,127.98,1008.53,271.51,1107.35,1378.86,2387.38,882.18,126.85,1009.02,276.52,1121.85,1398.37,2407.39,929.65,130.74,1060.39,284.03,1157.43,1441.46,2501.84,948.78,137.24,1086.02,299.29,1180.96,1480.25,2566.27,980.89,140.5,1121.39,305.63,1193.43,1499.05,2620.44,993.4,146.96,1140.36,315.87,1225.31,1541.18,2681.54,995.49,145.78,1141.26,327.34,1096.9,1424.24,2565.5,1326.14,157.16,1483.3,309.22,1086.77,1395.99,2879.29,1293.21,152.33,1445.54,283.37,1147.77,1431.14,2876.68,1235.07,151.28,1386.35,375.31,1174.45,1549.76,2936.11
Coffee Robusta (green coffee beans),..REGION XI (DAVAO REGION),979.71,553.4,1533.11,926.23,1701.06,2627.29,4160.4,977.47,522.06,1499.53,690.39,1734.87,2425.25,3924.78,979.79,487.98,1467.76,680.75,1749.34,2430.09,3897.85,966.77,479.68,1446.45,674.95,1717.98,2392.93,3839.37,918.43,452.46,1370.88,617.84,1664.24,2282.08,3652.96,884.65,447.51,1332.15,598.51,1748.28,2346.78,3678.93,872.21,437.46,1309.68,582.7,1763.2,2345.9,3655.57,876.0,437.61,1313.61,566.35,1776.85,2343.2,3656.81,864.27,425.14,1289.41,570.97,1799.13,2370.1,3659.51,853.44,412.57,1266.01,559.34,1727.19,2286.52,3552.53,836.07,419.39,1255.46,546.1,1849.97,2396.07,3651.53
Coffee Robusta (green coffee beans),..REGION XII (SOCCSKSARGEN),2231.66,1304.47,3536.14,590.94,4018.76,4609.7,8145.84,2198.89,1294.95,3493.83,585.11,3819.32,4404.43,7898.26,1964.03,1214.37,3178.4,591.97,3877.68,4469.65,7648.05,1971.3,808.45,2779.75,428.26,3806.47,4234.73,7014.47,2137.54,696.3,2833.84,361.67,3290.43,3652.1,6485.93,1486.07,583.76,2069.82,370.36,3287.31,3657.67,5727.49,1418.25,544.89,1963.14,336.19,3578.43,3914.62,5877.76,1351.51,501.69,1853.2,341.3,3976.91,4318.21,6171.41,2152.05,458.88,2610.94,293.78,3558.78,3852.56,6463.5,1847.07,370.38,2217.45,345.53,4335.85,4681.38,6898.83,2040.25,375.02,2415.27,446.8,4933.68,5380.48,7795.75
Coffee Robusta (green coffee beans),..REGION XIII (CARAGA),23.13,127.09,150.21,320.0,273.32,593.32,743.53,4.65,130.18,134.83,293.92,270.63,564.55,699.38,5.24,122.29,127.53,354.27,338.65,692.91,820.44,4.74,117.65,122.39,388.08,404.6,792.68,915.06,6.23,66.96,73.19,369.32,347.88,717.19,790.38,5.42,71.53,76.94,375.34,378.99,754.32,831.27,7.41,72.8,80.21,409.47,396.93,806.39,886.6,15.27,77.88,93.14,333.49,383.77,717.26,810.4,16.47,57.63,74.1,329.25,386.55,715.8,789.9,13.32,56.49,69.8,263.05,342.84,605.89,675.69,12.37,68.0,80.37,120.23,241.04,361.27,441.64
Coffee Robusta (green coffee beans),..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),587.94,423.75,1011.69,203.65,2428.08,2631.73,3643.42,581.48,409.55,991.03,203.78,2397.5,2601.28,3592.3,597.82,414.26,1012.08,194.5,2448.53,2643.03,3655.1,572.68,408.77,981.45,190.27,2430.27,2620.54,3601.98,565.12,359.39,924.5,190.78,2384.05,2574.82,3499.33,622.66,364.09,986.74,210.1,2418.45,2628.55,3615.29,598.5,355.93,954.43,211.23,2560.0,2771.23,3725.65,601.0,357.31,958.31,210.61,2619.59,2830.2,3788.51,517.7,360.49,878.2,211.77,2660.3,2872.07,3750.26,526.16,366.93,893.08,213.63,2642.91,2856.54,3749.62,531.11,409.8,940.91,208.09,2148.06,2356.15,3297.06
Coffee Others (green coffee beans),PHILIPPINES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee Others (green coffee beans),..CORDILLERA ADMINISTRATIVE REGION (CAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee Others (green coffee beans),..REGION I (ILOCOS REGION),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee Others (green coffee beans),..REGION II (CAGAYAN VALLEY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee Others (green coffee beans),..REGION III (CENTRAL LUZON),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee Others (green coffee beans),..REGION IV-A (CALABARZON),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee Others (green coffee beans),..MIMAROPA REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee Others (green coffee beans),..REGION V (BICOL REGION),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee Others (green coffee beans),..REGION VI (WESTERN VISAYAS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee Others (green coffee beans),..REGION VII (CENTRAL VISAYAS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee Others (green coffee beans),..REGION VIII (EASTERN VISAYAS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee Others (green coffee beans),..REGION IX (ZAMBOANGA PENINSULA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee Others (green coffee beans),..REGION X (NORTHERN MINDANAO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee Others (green coffee beans),..REGION XI (DAVAO REGION),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee Others (green coffee beans),..REGION XII (SOCCSKSARGEN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee Others (green coffee beans),..REGION XIII (CARAGA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee Others (green coffee beans),..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubber (coagulated cup lump),PHILIPPINES,66533.51,114564.5,181098.01,99078.25,164641.44,263719.69,444817.7,66617.77,120768.7,187386.47,104377.98,161288.03,265666.01,453052.48,52217.11,119537.22,171754.34,97903.34,128478.95,226382.3,398136.64,38486.57,105384.71,143871.28,91815.47,126939.22,218754.69,362625.97,45371.76,117681.24,163053.0,105692.44,138239.01,243931.44,406984.45,47361.86,120328.42,167690.28,112958.74,142721.88,255680.62,423370.9,45735.59,125368.7,171104.29,108775.56,151794.91,260570.47,431674.76,45754.9,116935.4,162690.3,104433.03,155283.77,259716.8,422407.1,47488.13,123819.09,171307.22,107132.51,152196.01,259328.52,430635.74,47336.75,123112.12,170448.87,106777.85,138522.92,245300.78,415749.65,44823.11,112592.35,157415.47,93235.46,128167.2,221402.66,378818.13
Rubber (coagulated cup lump),..CORDILLERA ADMINISTRATIVE REGION (CAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubber (coagulated cup lump),..REGION I (ILOCOS REGION),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubber (coagulated cup lump),..REGION II (CAGAYAN VALLEY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubber (coagulated cup lump),..REGION III (CENTRAL LUZON),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubber (coagulated cup lump),..REGION IV-A (CALABARZON),9.38,22.66,32.04,21.32,19.0,40.32,72.36,23.4,20.2,43.6,10.35,10.0,20.35,63.95,5.85,9.85,15.7,9.41,9.6,19.01,34.71,6.14,9.9,16.04,10.0,9.18,19.18,35.22,7.68,0.8,8.48,3.83,9.0,12.83,21.31,,0.8,0.8,3.5,8.9,12.4,13.2,,0.7,0.7,3.24,8.8,12.04,12.74,,0.69,0.69,3.21,8.5,11.71,12.4,3.0,0.68,3.68,3.19,8.4,11.59,15.27,1.95,0.66,2.61,3.15,8.12,11.27,13.88,1.85,0.65,2.5,3.13,7.32,10.45,12.95
Rubber (coagulated cup lump),..MIMAROPA REGION,12.33,13.78,26.11,11.81,21.34,33.15,59.26,24.85,21.07,45.92,26.22,29.96,56.18,102.1,27.14,32.95,60.09,27.35,30.25,57.6,117.69,27.96,29.5,57.46,33.15,31.57,64.72,122.18,29.09,36.32,65.41,34.69,32.28,66.97,132.38,30.99,38.02,69.01,36.95,33.93,70.88,139.89,32.78,36.65,69.43,39.63,35.96,75.59,145.02,28.48,38.82,67.3,40.97,38.52,79.49,146.79,30.69,40.43,71.12,56.49,35.2,91.69,162.81,29.59,41.79,71.38,59.66,31.12,90.78,162.16,21.89,18.23,40.12,56.2,9.34,65.54,105.66
Rubber (coagulated cup lump),..REGION V (BICOL REGION),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubber (coagulated cup lump),..REGION VI (WESTERN VISAYAS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubber (coagulated cup lump),..REGION VII (CENTRAL VISAYAS),2.31,,2.31,,6.85,6.85,9.16,2.73,8.0,10.73,0.2,7.23,7.43,18.16,10.0,8.29,18.29,9.23,6.67,15.9,34.19,11.96,11.0,22.96,10.5,5.12,15.62,38.58,7.26,14.1,21.36,7.86,3.94,11.8,33.16,3.64,11.2,14.84,8.25,7.35,15.6,30.44,6.3,3.75,10.05,12.73,15.0,27.73,37.78,,,,17.46,31.32,48.78,48.78,9.38,1.45,10.83,24.22,39.38,63.6,74.43,11.66,1.05,12.71,28.61,35.13,63.74,76.45,31.1,1.44,32.54,,27.07,27.07,59.61
Rubber (coagulated cup lump),..REGION VIII (EASTERN VISAYAS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.2,12.2,12.2,6.32,6.4,12.72,6.12,6.5,12.62,25.34,6.55,8.0,14.55,6.15,6.68,12.83,27.38,6.6,7.3,13.9,5.6,5.8,11.4,25.3,5.6,7.0,12.6,5.45,5.2,10.65,23.25,2.48,3.3,5.78,2.3,4.5,6.8,12.58,3.54,4.16,7.7,2.95,5.31,8.26,15.96
Rubber (coagulated cup lump),..REGION IX (ZAMBOANGA PENINSULA),24555.72,43966.15,68521.87,42148.37,84686.79,126835.16,195357.03,25383.15,44087.28,69470.43,43875.64,78263.75,122139.38,191609.82,25165.59,44009.44,69175.03,40077.36,67519.53,107596.89,176771.93,17711.47,43697.81,61409.28,39053.94,63950.64,103004.59,164413.87,16922.15,41675.22,58597.37,38096.23,59025.31,97121.53,155718.9,17347.74,41246.76,58594.51,39819.58,59079.28,98898.86,157493.37,17860.65,43817.51,61678.16,41812.42,58339.53,100151.96,161830.12,18295.2,42373.39,60668.59,43523.39,61503.41,105026.8,165695.39,19287.07,48377.01,67664.08,40079.54,57691.09,97770.62,165434.71,19202.18,46447.14,65649.32,39925.91,57000.16,96926.07,162575.39,18230.84,42234.49,60465.33,38271.87,58896.17,97168.04,157633.37
Rubber (coagulated cup lump),..REGION X (NORTHERN MINDANAO),719.03,3182.45,3901.48,2563.17,4796.35,7359.52,11261.0,794.39,3322.07,4116.46,2744.22,5011.92,7756.14,11872.6,827.45,3305.43,4132.88,2873.77,5135.25,8009.02,12141.9,800.59,3193.57,3994.16,3017.46,5390.55,8408.01,12402.17,852.7,3449.38,4302.08,3166.46,5495.55,8662.01,12964.09,901.1,3570.25,4471.35,3301.38,5605.07,8906.45,13377.8,918.33,3684.96,4603.29,3423.61,5733.7,9157.31,13760.6,914.77,3402.37,4317.14,3055.63,5043.0,8098.63,12415.77,1022.44,2977.97,4000.41,3412.83,4326.85,7739.68,11740.09,930.92,2752.43,3683.35,2926.17,3638.73,6564.9,10248.25,876.6,2631.85,3508.45,2765.34,3875.16,6640.5,10148.95
Rubber (coagulated cup lump),..REGION XI (DAVAO REGION),1647.46,2116.89,3764.35,2420.21,2056.24,4476.45,8240.8,1797.42,2252.93,4050.35,3985.48,2813.11,6798.59,10848.94,1847.35,2465.82,4313.17,4167.44,2926.26,7093.7,11406.87,1724.24,2366.1,4090.34,4111.37,2826.44,6937.81,11028.15,1813.22,2120.6,3933.82,4270.79,2982.81,7253.6,11187.42,1866.14,2214.17,4080.31,4259.8,3123.24,7383.04,11463.35,1866.84,2211.25,4078.09,4515.93,3171.85,7687.78,11765.87,1989.6,2248.84,4238.44,4762.08,3104.73,7866.81,12105.25,2028.0,2193.9,4221.9,4641.18,3651.77,8292.95,12514.85,2045.49,2229.05,4274.54,4507.91,3637.25,8145.16,12419.7,2047.56,2216.95,4264.51,4341.81,3700.21,8042.02,12306.52
Rubber (coagulated cup lump),..REGION XII (SOCCSKSARGEN),35942.36,37006.4,72948.76,36970.83,63034.33,100005.16,172953.92,33232.5,38083.67,71316.17,38017.23,64643.11,102660.34,173976.51,19451.79,32307.82,51759.61,33722.82,40781.75,74504.57,126264.18,13248.58,20940.78,34189.36,26911.35,41275.76,68187.11,102376.47,20265.76,30270.21,50535.97,39211.5,57732.53,96944.03,147480.0,21259.99,31246.67,52506.66,41241.05,60924.25,102165.3,154671.96,19290.57,29173.61,48464.18,33936.7,70323.61,104260.31,152724.49,18700.85,19394.12,38094.97,27822.06,70809.12,98631.18,136726.15,19636.81,20404.23,40041.04,33101.18,71272.36,104373.54,144414.58,19857.96,21978.1,41836.06,33535.14,59015.96,92551.1,134387.16,18741.99,17910.13,36652.12,27323.71,47735.18,75058.89,111711.01
Rubber (coagulated cup lump),..REGION XIII (CARAGA),1744.92,2986.83,4731.75,3074.04,2225.05,5299.08,10030.83,1976.44,3818.48,5794.92,2689.09,2025.06,4714.16,10509.08,1827.94,3908.62,5736.56,3095.47,3173.98,6269.45,12006.01,2085.63,3990.05,6075.68,3403.11,3366.45,6769.56,12845.24,2348.9,4366.96,6715.86,3850.49,3626.39,7476.88,14192.74,2582.13,4475.62,7057.75,4204.41,4354.36,8558.77,15616.52,2397.86,5126.68,7524.54,4800.89,4425.67,9226.56,16751.1,2467.55,5340.08,7807.63,4864.65,4956.15,9820.8,17628.43,2367.83,5041.97,7409.8,5316.94,5351.49,10668.43,18078.23,2108.3,4568.41,6676.71,5502.88,5305.15,10808.03,17484.74,2106.9,4425.69,6532.59,4167.27,5262.94,9430.21,15962.8
Rubber (coagulated cup lump),..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1900.0,25269.34,27169.34,11868.5,7795.5,19664.0,46833.34,3382.89,29155.0,32537.89,13029.55,8483.89,21513.44,54051.33,3054.0,33489.0,36543.0,13920.5,8895.66,22816.16,59359.16,2870.0,31146.0,34016.0,15264.59,10083.5,25348.09,59364.09,3125.0,35747.65,38872.65,17044.6,9325.0,26369.6,65242.25,3363.8,37518.54,40882.34,20077.7,9579.0,29656.7,70539.04,3355.71,41305.59,44661.3,20224.26,9734.1,29958.36,74619.66,3351.85,44129.79,47481.64,20337.98,9783.22,30121.2,77602.84,3097.31,44774.45,47871.76,20491.5,9814.27,30305.77,78177.53,3146.22,45090.19,48236.41,20286.12,9846.8,30132.92,78369.33,2760.84,43148.77,45909.61,16303.18,8648.5,24951.68,70861.29
Sugarcane,PHILIPPINES,11680585.55,3036506.1,14717091.64,1161508.99,8706240.86,9867749.85,24584841.5,12301042.69,3168015.5,15469058.19,1535478.39,8025343.43,9560821.82,25029880.01,11946129.53,2682533.91,14628663.44,893515.28,7404258.62,8297773.9,22926437.34,12207800.5,3393053.71,15600854.21,479004.0,6290688.01,6769692.01,22370546.22,12576088.76,8733007.96,21309096.72,783364.0,7194432.46,7977796.46,29286893.18,10226489.77,6460633.1,16687122.87,1009225.74,7034471.34,8043697.09,24730819.95,11716429.24,2608983.32,14325412.56,403569.03,5990309.45,6393878.49,20719291.05,12182876.06,5124624.66,17307500.72,499441.94,6591998.6,7091440.54,24398941.25,11634404.53,6908222.09,18542626.62,1052670.08,6682105.04,7734775.12,26277401.74,10455056.13,3188958.94,13644015.07,1881672.63,7929715.8,9811388.43,23455403.5,8675076.66,2829318.22,11504394.88,1385615.1,8759046.8,10144661.9,21649056.78
Sugarcane,..CORDILLERA ADMINISTRATIVE REGION (CAR),10818.73,1323.0,12141.73,40.0,713.49,753.49,12895.22,46855.48,1385.0,48240.48,1405.0,63.76,1468.76,49709.24,48973.53,1271.0,50244.53,1484.74,57.75,1542.5,51787.03,41243.66,488.0,41731.66,32.22,52.2,84.42,41816.08,24491.29,156.43,24647.72,9.36,213.31,222.67,24870.39,28658.82,148.0,28806.82,8.89,162.17,171.06,28977.88,28941.03,67.39,29008.42,8.07,171.13,179.2,29187.62,22654.63,71.06,22725.69,8.57,176.15,184.72,22910.41,12672.19,9328.79,22000.98,9.09,177.3,186.39,22187.37,17401.84,5645.92,23047.76,8.93,180.32,189.25,23237.01,14915.87,3766.67,18682.54,9.73,163.55,173.28,18855.82
Sugarcane,..REGION I (ILOCOS REGION),16638.91,1552.08,18190.99,,1129.46,1129.46,19320.45,16682.82,1575.18,18258.01,,1055.44,1055.44,19313.45,16844.77,1615.44,18460.21,,1052.02,1052.02,19512.23,16841.52,1666.82,18508.34,,1063.13,1063.13,19571.47,16977.63,1717.61,18695.24,,1109.68,1109.68,19804.92,16810.58,1721.62,18532.21,,1057.07,1057.07,19589.27,16588.83,1750.71,18339.53,,1053.18,1053.18,19392.71,16790.85,1780.37,18571.22,,1052.51,1052.51,19623.73,16422.55,1906.46,18329.01,,1068.3,1068.3,19397.31,14570.62,1941.52,16512.14,,1077.14,1077.14,17589.28,14470.32,1909.88,16380.2,,1039.7,1039.7,17419.9
